SNID,CID,n_entries,mean_z,min_z,max_z,logMstar,mean_mu_resid,std_mu_resid,mean_H0_proxy,is_calibrator,used_in_shoes_hf,abs_mean_mu_resid,nearby_bonus,priority_score
2006gr,2006gr,2,0.03428,0.03428,0.03428,10.0957,0.1361818282100682,0.013435028842548222,63.30349483560786,0,1,0.1361818282100682,0.0,7.544727312840273
2008Y,2008Y,2,0.07056,0.07056,0.07056,10.544,-0.12946315620879106,0.013152186130069288,71.54124781144543,0,1,0.12946315620879106,0.0,7.5178526248351645
2005iq,2005iq,2,0.03341,0.03341,0.03341,10.49,0.12324659385902414,0.009263098833544833,63.68139280588301,0,1,0.12324659385902414,0.0,7.492986375436097
2003fa,2003fa,2,0.04056,0.04056,0.04056,10.3091,-0.1181574350839671,0.04603265145524496,71.17708102822503,0,1,0.1181574350839671,0.0,7.472629740335869
ASASSN-15la,ASASSN-15la,1,0.02902,0.02902,0.02902,10.5989,-0.3661515969437321,,79.77929899382895,0,1,0.3661515969437321,0.0,7.4646063877749285
LSQ12gdj,LSQ12gdj,1,0.02947,0.02947,0.02947,8.87386,-0.3621906463555948,,79.63390740243993,0,1,0.3621906463555948,0.0,7.448762585422379
1981D,1981D,1,0.00616,0.00616,0.00616,11.314,-1.1109803287610998,,112.42320503503406,0,0,1.1109803287610998,1.0,7.443921315044399
2004as,2004as,2,0.03296,0.03296,0.03296,8.76504,0.10681420795425994,0.11193500346183337,64.20746034461938,0,1,0.10681420795425994,0.0,7.42725683181704
PTSS-16efw,PTSS-16efw,1,0.03568,0.03568,0.03568,9.96056,0.352723636616842,,57.29479491381592,0,1,0.352723636616842,0.0,7.410894546467368
2008bz,2008bz,2,0.06099,0.06099,0.06099,10.3562,0.0926686623697126,0.020788939366886333,64.58566197965256,0,1,0.0926686623697126,0.0,7.37067464947885
ASASSN-15mi,ASASSN-15mi,1,0.03585,0.03585,0.03585,9.51083,-0.3403693849378388,,78.83766873626912,0,1,0.3403693849378388,0.0,7.361477539751355
