z,E_LCDM,E_Flux,w_Flux,Omega_DE_Flux,zfit,H0_eff_curve
0.8110137672090112,1.575408884096722,1.5738790286638509,-1.0017891026240413,0.2806440945574552,0.5771589486858574,67.34671344350419
0.8147684605757196,1.5789297993194493,1.5774009208659165,-1.0017721196443417,0.27938923765268603,0.5795994993742177,67.34663822242791
0.818523153942428,1.5824574024323428,1.5809295311155653,-1.0017552201949003,0.27814040031815956,0.5820400500625783,67.34656560413485
0.8222778473091364,1.5859916788526864,1.584464844375852,-1.0017384049484717,0.2768975604797576,0.5844806007509387,67.3464929858418
0.8260325406758448,1.5895326768553732,1.5880069087433852,-1.0017216753693898,0.27566075225988107,0.5869211514392991,67.34642036754876
0.8297872340425532,1.5930803724035438,1.591555699682383,-1.0017050319966536,0.2744299446114517,0.5893617021276596,67.34634828115381
0.8335419274092616,1.5966346972406122,1.595111148257321,-1.0016884747650039,0.2732050669454398,0.5918022528160201,67.34627877602901
0.8372966207759699,1.600195636968254,1.5986732396312204,-1.0016720042778866,0.27198609689742687,0.5942428035043805,67.34620927090423
0.8410513141426783,1.603763232096827,1.602242014104703,-1.0016556218543868,0.2707730608716895,0.596683354192741,67.34613976577943
0.8448060075093867,1.60733747367926,1.6058174623114345,-1.0016393281563596,0.2695659408774163,0.5991239048811016,67.34607073291882
0.8485607008760951,1.6109182866959486,1.6093995085518755,-1.0016231229318568,0.26836466018957894,0.601564455569462,67.3460042594254
0.8523153942428034,1.6145056569343192,1.612988138190303,-1.0016070067160017,0.267169196207941,0.6040050062578224,67.34593778593198
0.8560700876095119,1.618099617277162,1.6165833838726473,-1.001590980676299,0.26597956786862986,0.6064455569461829,67.34587131243856
0.8598247809762203,1.6217001736097163,1.6201852511366988,-1.0015750456086565,0.26479576988285275,0.6088861076345432,67.34580525427995
0.8635794743429286,1.6253072442734886,1.623793657646286,-1.0015592010728676,0.26361771965387804,0.6113266583229037,67.34574173263036
0.867334167709637,1.6289208152426864,1.627408588967867,-1.0015434475369147,0.26244539439658043,0.6137672090112641,67.34567821098075
0.8710888610763454,1.6325409119066723,1.6310300702309046,-1.0015277860115415,0.26127880582973945,0.6162077596996247,67.34561468933116
0.8748435544430538,1.636167554730257,1.6346581216171128,-1.0015122174362734,0.26011796100344564,0.6186483103879852,67.34555152867098
0.8785982478097621,1.6398006555373053,1.638292654277949,-1.0014967411821392,0.2589627717110434,0.6210888610763455,67.34549088049715
0.8823529411764706,1.6434402004895239,1.6419336539826381,-1.0014813576513495,0.25781321503003435,0.623529411764706,67.34543023232334
0.886107634543179,1.6470862076141637,1.645581138479329,-1.0014660676938245,0.25666929571263725,0.6259699624530664,67.34536958414951
0.8898623279098873,1.6507387117076548,1.6492351423386278,-1.001450872400674,0.2555310327776851,0.6284105131414268,67.34530924541797
0.8936170212765957,1.6543976181946007,1.652895570320786,-1.0014357709546793,0.2543983326672464,0.6308510638297873,67.3452513962901
0.8973717146433041,1.65806291342464,1.6565624083980603,-1.0014207636938195,0.2532711723656936,0.6332916145181477,67.34519354716224
0.9011264080100125,1.6617346081914028,1.6602356670693807,-1.001405851304214,0.25214954990869637,0.6357321652065082,67.34513569803437
0.9048811013767208,1.6654127513798118,1.6639153950444168,-1.0013910350349677,0.2510334959084189,0.6381727158948686,67.34507810872844
