t,a,z,H,sigma,C_sigma_base,rho_m,rho_r,C_sigma,G_esc,G_leak,Sdot_struct,source_gated,throughput_raw,rho_DE_flux,Omega_DE_flux,w_flux
0.08313693586962015,0.1675500260766752,4.968366722559471,8.030222344791273,4.9999391559664,0.992337892599575,63.7804759015448,0.1141995809759359,0.6227731866073499,0.3772268133926501,0.9980301151977558,0.2682210438318279,0.10098085637104964,0.002289237535961691,0.6307144278820991,0.009774670540664408,-1.0015253957393593
0.08329276198925518,0.16775962077800258,4.960909993491859,8.015306767543342,4.999938927962309,0.9923091799759887,63.54171722442929,0.1136299371620203,0.6224641094742875,0.37753589052571246,0.9980496800848374,0.2691973803330662,0.10143345843593307,0.0023050082545791697,0.6307180475917851,0.00981111607219178,-1.0015350751481833
0.08344887807853135,0.16796947766931491,4.953462580676242,8.000419418391681,4.999938699107072,0.9922803601673539,63.30385232719069,0.11306313481277534,0.6221555857675132,0.3778444142324868,0.9980690510295069,0.2701772894271143,0.10188785877612692,0.002320879119033983,0.6307216902870347,0.009847696469852963,-1.0015448123284898
0.0836052846667883,0.168179597078596,4.946024472473116,7.985560244832746,4.9999384693975175,0.9922514327742594,63.06687786401316,0.1124991597545686,0.6218476154760026,0.37815238452399735,0.9980882299468417,0.27116078591188414,0.10234406469379262,0.002336850728215524,0.6307253561053057,0.009884412225990236,-1.001554607619776
0.08376198228427502,0.16838997933423894,4.93859565725755,7.9707291944625,4.999938238830462,0.9922223973958398,62.83079050160683,0.1119379978844704,0.6215401985787046,0.3784598014212954,0.9981072187331551,0.27214788466854956,0.10280208353165302,0.002352923684547277,0.6307290451848668,0.009921263834700557,-1.0015644613635384
0.08391897146215253,0.1686006247650485,4.931176123419108,7.955926214976097,4.9999380074027115,0.9921932536297761,62.59558691915882,0.11137963516989607,0.6212333350445718,0.3787666649554282,0.9981260192661784,0.2731386006617484,0.10326192267315655,0.0023690985940093973,0.6307327576648032,0.009958251791841904,-1.0015743739034992
0.08407625273249437,0.16881153370024088,4.923765859361854,7.9411512541677505,4.999937775111061,0.9921640010725181,62.361263808287426,0.11082405764825734,0.6209270248327089,0.3790729751672911,0.9981446334052393,0.27413294893975826,0.10372358954259941,0.0023853760661612226,0.6307364936850214,0.009995376595039185,-1.0015843455855986
0.08423382662828724,0.1690227064694431,4.916364853504377,7.926404259930624,4.999937541952291,0.992134639318727,62.127817872996815,0.11027125142661583,0.6206212678921281,0.3793787321078719,0.9981630629914396,0.2751309446346586,0.10418709160534938,0.0024017567141639377,0.6307402533862548,0.010032638743690083,-1.0015943767578506
0.08439169368343355,0.16923414340269544,4.908973094279702,7.911685180256515,4.999937307923177,0.9921051679621687,61.89524582962845,0.10972120268133075,0.6203160641622293,0.3796839358377707,0.9981813098478319,0.2761326029624867,0.10465243636786956,0.0024182411548035764,0.6307440369100686,0.010070038738971481,-1.0016044677704958
0.084549854432752,0.16944584483045108,4.901590570135304,7.896993963235731,4.999937073020479,0.9920755865949314,61.663544406816044,0.10917389765771555,0.6200114135724439,0.37998858642755606,0.9981993757795928,0.27713793922336855,0.1051196313779608,0.0024348300085139567,0.6307478443988654,0.010107577083845373,-1.0016146189760775
0.08470830941197817,0.16965781108357564,4.894217269533125,7.882330557056971,4.999936837240946,0.9920458948076493,61.432710345440455,0.10862932266969642,0.6197073160423839,0.38029268395761606,0.9982172625741963,0.27814696880163264,0.10558868422486016,0.0024515238993997705,0.6307516759958904,0.010145254283064842,-1.0016248307292035
0.08486705915776713,0.16987004249334958,4.8868531809494895,7.867694910007011,4.999936600581318,0.9920160921897262,61.202740398581824,0.10808746409946518,0.6194037714819853,0.38059622851801467,0.9982349720015844,0.2791597071659207,0.10605960253933824,0.002468323455260013,0.6307555318452364,0.010183070843180498,-1.001635103386813
