z_leak,m,n,rho_floor_frac,lambda0,Omega_DE_0,Omega_DE_1090,w0,w_z1,w_z2,w_z3,hump_abs_z1_3,hump_signed_z2,score,pass_basic
7.0,4.0,2.0,0.9,0.3948032298331486,0.7000000000000001,1.2187283084634588e-09,-1.0236852317739373,-1.0297125168369818,-1.0218051596797884,-1.0075951845755295,0.030026256858046052,-0.021805159679788355,0.23685231773937443,True
6.0,4.0,2.0,0.9,0.39791868308929806,0.7000000000000001,1.2187283084634588e-09,-1.0238680207580684,-1.0298766371695653,-1.0216902220233062,-1.0073519336147447,0.030162136524760852,-0.02169022202330617,0.23868020758068487,True
12.0,8.0,3.0,0.9,0.6312830612290886,0.7000000000000001,1.2187283084634588e-09,-1.036888471790424,-1.027120291731745,-1.0174280973177794,-1.0058285200573294,0.027115782855692716,-0.01742809731777939,0.36888471790424204,False
11.0,8.0,3.0,0.9,0.6313025345752422,0.7000000000000001,1.2187283084634588e-09,-1.036889609736261,-1.0271211756483767,-1.0174285602748419,-1.00582829751317,0.027116666632821307,-0.017428560274841853,0.368896097362611,False
12.0,7.0,3.0,0.9,0.6313059915503139,0.7000000000000001,1.2187283084634588e-09,-1.0368898112512308,-1.0271212942574137,-1.017428319873084,-1.0058276957761212,0.027116785050717906,-0.01742831987308402,0.3688981125123092,False
11.0,7.0,3.0,0.9,0.6313389299556944,0.7000000000000001,1.2187283084634588e-09,-1.0368917356675862,-1.0271227603612958,-1.0174288567441712,-1.0058268845220542,0.027118250792369736,-0.01742885674417116,0.368917356675863,False
10.0,8.0,3.0,0.9,0.6313405549069174,0.7000000000000001,1.2187283084634588e-09,-1.0368918314879418,-1.0271229000938438,-1.017429442005473,-1.0058277894571193,0.027118390798686276,-0.017429442005473028,0.3689183148794195,False
12.0,6.0,3.0,0.9,0.6313662837512857,0.7000000000000001,1.2187283084634588e-09,-1.0368933275347012,-1.027123746171054,-1.017428097057778,-1.0058248687475402,0.02711923547264905,-0.017428097057778036,0.36893327534701315,False
10.0,7.0,3.0,0.9,0.6313998657380722,0.7000000000000001,1.2187283084634588e-09,-1.036895295775377,-1.0271254682274578,-1.0174298014049337,-1.005825263786137,0.027120957967696313,-0.017429801404933665,0.3689529577537709,False
9.0,8.0,3.0,0.9,0.6314181035576634,0.7000000000000001,1.2187283084634588e-09,-1.0368963630910084,-1.0271264134634606,-1.017431175444185,-1.0058265378651927,0.0271219035768695,-0.017431175444184932,0.3689636309100852,False
11.0,6.0,3.0,0.9,0.6314294545779155,0.7000000000000001,1.2187283084634588e-09,-1.036897014390594,-1.027126413751255,-1.0174283690790151,-1.0058224526254733,0.027121901841004048,-0.017428369079015127,0.3689701439059412,False
9.0,7.0,3.0,0.9,0.6315175456073454,0.7000000000000001,1.2187283084634588e-09,-1.0369021709663255,-1.0271306855139566,-1.0174314916958849,-1.005821804441412,0.027126173862948688,-0.01743149169588487,0.3690217096632564,False
10.0,6.0,3.0,0.9,0.6315391539508861,0.7000000000000001,1.2187283084634588e-09,-1.0369034165141382,-1.0271310324237601,-1.0174287414752623,-1.005818076824728,0.027126518354303242,-0.0174287414752623,0.3690341651413831,False
12.0,5.0,3.0,0.9,0.631549209924774,0.7000000000000001,1.2187283084634588e-09,-1.0369039253662777,-1.0271301092230098,-1.0174247364781646,-1.0058155472061219,0.02712559124723657,-0.01742473647816456,0.36903925366277845,False
8.0,8.0,3.0,0.9,0.6315841497349669,0.7000000000000001,1.2187283084634588e-09,-1.0369060660345042,-1.027133923717082,-1.0174346784153827,-1.005823169448096,0.027129412496160965,-0.01743467841538271,0.36906066034504303,False
11.0,5.0,3.0,0.9,0.6316875559966979,0.7000000000000001,1.2187283084634588e-09,-1.0369119609527113,-1.027135273310148,-1.0174232375486285,-1.0058090335592722,0.027130750794678304,-0.017423237548628512,0.3691196095271143,False
9.0,6.0,3.0,0.9,0.6317376382967392,0.7000000000000001,1.2187283084634588e-09,-1.0369149994303752,-1.0271393536661568,-1.017429156535425,-1.0058097001224466,0.0271348355480161,-0.017429156535424983,0.3691499943037535,False
8.0,7.0,3.0,0.9,0.6317560362162983,0.7000000000000001,1.2187283084634588e-09,-1.0369161038749648,-1.0271412224851015,-1.0174345159167477,-1.0058138174792917,0.0271367078432736,-0.017434515916747717,0.3691610387496491,False
10.0,5.0,3.0,0.9,0.6319112806873897,0.7000000000000001,1.2187283084634588e-09,-1.0369249538212297,-1.027143582317971,-1.0174206146844476,-1.0057982582533922,0.027139052322932455,-0.017420614684447555,0.36924953821229844,False
7.0,8.0,3.0,0.9,0.631959649767043,0.7000000000000001,1.2187283084634588e-09,-1.0369280082191448,-1.027150862992524,-1.0174418543872665,-1.0058131138906687,0.02714634851118558,-0.01744185438726653,0.3692800821914488,False
8.0,6.0,3.0,0.9,0.6321138858693494,0.7000000000000001,1.2187283084634588e-09,-1.036936953937854,-1.0271550283083646,-1.0174292236052949,-1.0057925740800664,0.027150502118928443,-0.017429223605294863,0.3693695393785401,False
12.0,4.0,3.0,0.9,0.6321942358135904,0.7000000000000001,1.2187283084634588e-09,-1.036940422493785,-1.0271465022036381,-1.0174055916894318,-1.0057858811374685,0.027141948545439165,-0.017405591689431787,0.3694042249378515,False
7.0,7.0,3.0,0.9,0.6322664923113052,0.7000000000000001,1.2187283084634588e-09,-1.0369459240540981,-1.0271636555149437,-1.0174396661271992,-1.0057935703369527,0.02715913390585456,-0.01743966612719916,0.36945924054098245,False
9.0,5.0,3.0,0.9,0.6322869600491693,0.7000000000000001,1.2187283084634588e-09,-1.0369467671957349,-1.0271574337154084,-1.0174157353755813,-1.0057796074707506,0.027152890828233467,-0.017415735375581276,0.36946767195734975,False
11.0,4.0,3.0,0.9,0.6325383377915902,0.7000000000000001,1.2187283084634588e-09,-1.0369600409046444,-1.0271563956260947,-1.0173970877877336,-1.0057698151602195,0.0271518250426368,-0.017397087787733634,0.36960040904644553,False
6.0,8.0,3.0,0.9,0.6328637530625336,0.7000000000000001,1.2187283084634588e-09,-1.03698083813445,-1.027191467528828,-1.0174560913309487,-1.0057792011253528,0.027186944205046304,-0.01745609133094872,0.3698083813445019,False
7.0,6.0,3.0,0.9,0.6328660861344451,0.7000000000000001,1.2187283084634588e-09,-1.036980839311021,-1.0271860633524053,-1.0174271775352657,-1.005754721898024,0.027181519816859234,-0.01742717753526568,0.3698083931102103,False
8.0,5.0,3.0,0.9,0.632945645344807,0.7000000000000001,1.2187283084634588e-09,-1.0369850018672755,-1.0271814592702064,-1.01740597135546,-1.0057455687058197,0.02717689292352543,-0.01740597135545996,0.369850018672756,False
10.0,4.0,3.0,0.9,0.6330535567483786,0.7000000000000001,1.2187283084634588e-09,-1.0369894034319502,-1.0271710728168995,-1.0173839722552571,-1.0057455319120157,0.027166476547724416,-0.01738397225525712,0.3698940343195034,False
6.0,7.0,3.0,0.9,0.6334298106894378,0.7000000000000001,1.2187283084634588e-09,-1.0370138788192655,-1.0272143348676062,-1.017446500598878,-1.0057362804988048,0.027209795270825454,-0.01744650059887798,0.37013878819265655,False
9.0,4.0,3.0,0.9,0.633850718604657,0.7000000000000001,1.2187283084634588e-09,-1.0370348080433573,-1.0271934849172988,-1.0173628619024135,-1.005707524876227,0.027188848159586998,-0.01736286190241354,0.3703480804335746,False
7.0,5.0,3.0,0.9,0.6341596291695887,0.7000000000000001,1.2187283084634588e-09,-1.0370554387749868,-1.027225012309598,-1.0173846629249446,-1.0056795114171853,0.02722040034020279,-0.01738466292494456,0.3705543877498696,False
6.0,6.0,3.0,0.9,0.634465193864021,0.7000000000000001,1.2187283084634588e-09,-1.0370741135598425,-1.0272510147334937,-1.0174155103350977,-1.0056631736942028,0.027246430202779948,-0.017415510335097695,0.3707411355984258,False
8.0,4.0,3.0,0.9,0.6351319492920734,0.7000000000000001,1.2187283084634588e-09,-1.0371077235145978,-1.0272288173610788,-1.0173270913834882,-1.0056456215756042,0.027224113805753403,-0.017327091383488202,0.371077235145979,False
6.0,5.0,3.0,0.9,0.6365311367594314,0.7000000000000001,1.2187283084634588e-09,-1.0371929398810322,-1.0273078481130422,-1.0173331506881247,-1.005542261059706,0.02730313967575171,-0.017333150688124688,0.3719293988103234,False
7.0,4.0,3.0,0.9,0.6372850311386903,0.7000000000000001,1.2187283084634588e-09,-1.0372301033781997,-1.0272864701702213,-1.017262586161971,-1.0055402130548057,0.027281650098150978,-0.017262586161971072,0.37230103378199764,False
6.0,4.0,3.0,0.9,0.6410994152017687,0.7000000000000001,1.2187283084634588e-09,-1.0374464857775265,-1.0273838971102316,-1.01713716403576,-1.0053521527520206,0.027378859141161227,-0.017137164035760044,0.3744648577752663,False
12.0,8.0,1.0,0.7,0.6885627295270792,0.7000000000000001,9.47899795728298e-10,-1.0424335756371272,-1.1007658105354505,-1.095533066291718,-1.039267968041916,0.11272992363893763,-0.09553306629171798,0.4243357563712735,False
12.0,7.0,1.0,0.7,0.6886318511766614,0.7000000000000001,9.47899795728298e-10,-1.0424378350607983,-1.1007772988538935,-1.0955429915893846,-1.0392661458881356,0.11274305643927574,-0.09554299158938462,0.42437835060798457,False
11.0,8.0,1.0,0.7,0.6886581336500279,0.7000000000000001,9.47899795728298e-10,-1.0424394554615632,-1.1007818873536264,-1.095549756146587,-1.0392726522824798,0.11274901736581455,-0.095549756146587,0.4243945546156336,False
11.0,7.0,1.0,0.7,0.6887606720042627,0.7000000000000001,9.47899795728298e-10,-1.0424457739337174,-1.1007988868403362,-1.0955638779677586,-1.0392684622824289,0.1127683074051049,-0.09556387796775856,0.4244577393371751,False
