case,label,N,a,z,H,Omega_m,mu_eff,D_raw,D_norm,f,gamma,sigma8_z,fsigma8
C,C: Full Flux ledger,-0.8162798193052567,0.442073191358096,1.2620688599729228,2.033764444695965,0.8395327426599883,1.0120575476865632,0.4239507105979751,0.5452605246585999,0.9124993783426225,0.5235148313739864,0.4465553105465623,0.40748144326933483
C,C: Full Flux ledger,-0.8144330323837514,0.44289036068280035,1.257895155944032,2.029068795359249,0.8387644970581151,1.0120693237079303,0.42466557707704106,0.5461799439724313,0.9120549312360205,0.5235597811207533,0.44730829294422914,0.40796973436255063
C,C: Full Flux ledger,-0.8125862454622466,0.44370904053951216,1.2537291527440724,2.024385013817061,0.8379927168657187,1.0120808494519755,0.4253812990266206,0.5471004635422345,0.9116084742451145,0.5236031022140432,0.44806217642518537,0.4084572770179085
C,C: Full Flux ledger,-0.8107394585407413,0.44452923372043995,1.2495708361643771,2.0197202690972578,0.8372185530421631,1.0120921210835896,0.42609787509876584,0.5480220816343581,0.9111599327421951,0.5236493096511377,0.44881695956961204,0.4089440306950042
C,C: Full Flux ledger,-0.8088926716192364,0.445350943022953,1.2454201920224985,2.0150671415310724,0.8364408109398823,1.0121031433905856,0.4268153039095048,0.5489447964688183,0.9107093377911568,0.5236939692585051,0.4495726409197452,0.4094300021010427
C,C: Full Flux ledger,-0.8070458846977311,0.4461741712495924,1.241277206162152,2.010432615165635,0.8356606274334263,1.0121139125855243,0.4275335840963016,0.5498686062932017,0.9102567149679445,0.523740893997424,0.4503292190404,0.40991519557779443
C,C: Full Flux ledger,-0.8051990977762262,0.44699892120807866,1.2371418644531773,2.0058101755460607,0.8348769391768692,1.0121244330494041,0.42825271429104766,0.550793509347927,0.9098020754629869,0.5237862723512123,0.4510866924905218,0.4103996090416109
C,C: Full Flux ledger,-0.8033523108547209,0.4478251957113233,1.2330141527914815,2.0012055218112326,0.8340906875356393,1.0121347017180635,0.4289726930960377,0.5517195038353481,0.9093453608340908,0.5238337184534306,0.4518450597978812,0.4108832089430056
C,C: Full Flux ledger,-0.8015055239332161,0.4486529975774367,1.2288940570989983,1.9966136099777525,0.833301038073047,1.0121447221891413,0.42969351908542197,0.5526465879216204,0.9088865899018551,0.5238801973939097,0.45260431946060353,0.4113659964893978
C,C: Full Flux ledger,-0.7996587370117108,0.4494823296297393,1.2247815633236332,1.9920386788167417,0.83250870171124,1.0121544922654722,0.43041519082466567,0.5535747597617295,0.9084257392261551,0.5239282839659086,0.4533644699676663,0.4118479537692512
C,C: Full Flux ledger,-0.7978119500902059,0.4503131946967695,1.2206766574392227,1.9874771354115468,0.8317130765314148,1.0121640147295563,0.43113770685762315,0.5545040174828664,0.9079628459898117,0.5239756591226149,0.4541255097852835,0.41232909030122006
C,C: Full Flux ledger,-0.7959651631687006,0.45114559561229517,1.2165793254454789,1.9829317774897761,0.8309146394023124,1.0121732882800776,0.43186106574062,0.5554343592282618,0.9074978909558222,0.5240240511923212,0.4548874373928058,0.4128093900562699
C,C: Full Flux ledger,-0.7941183762471953,0.4519795352153217,1.2124895533679485,1.9784004439520566,0.8301130245449344,1.0121823148525348,0.43258526598302216,0.5563657830807496,0.9070308454983762,0.5240723581054908,0.45565025122011993,0.4132888326157329
