case,model,k,Gamma0,A_mu,G_void_k,G_collapse_k,D_today,sigma8_today,S8,f_sigma8_z0p5,f_sigma8_z1p0,gamma_z0,gamma_z0p5,Gamma_topo_z0,Gamma_topo_z1,mu_eff_z0,mu_eff_z1,delta_S8_vs_LCDM_percent
B_flux_topology_linear,flux,0.1,0.07,0.0,0.8797113999598205,0.0066928509242848554,0.7676706443138112,0.7992242081990784,0.7992242081990784,0.45794149728750416,0.4213590488266232,0.5665230763721908,0.5854802603185619,0.01076911530430036,0.049246392512196945,1.0,1.0,-1.4520088533812203
C_flux_topology_halo,flux,10.0,0.07,0.25,0.00033191490682538127,0.9933071490757153,0.8532726034378565,0.8883446643581888,0.8883446643581888,0.5512666257842329,0.48529009761862496,0.4613508120226102,0.3691070985755618,4.063184702371594e-06,1.8580652453655327e-05,1.2394579734378957,1.1915663549218725,9.536949982514027
B_flux_topology_linear,flux,0.1,0.08,0.0,0.8797113999598205,0.0066928509242848554,0.7656665046345436,0.7971376923733824,0.7971376923733824,0.4557954335888851,0.4196078559222108,0.5682727164946549,0.5906900911515747,0.01230756034777184,0.056281591442510784,1.0,1.0,-1.7092857739355936
C_flux_topology_halo,flux,10.0,0.08,0.25,0.00033191490682538127,0.9933071490757153,0.8532717244188305,0.8883437492088467,0.8883437492088467,0.5512656613070797,0.4852893404255446,0.4613510069490814,0.3691089472739357,4.64363965985325e-06,2.123503137560609e-05,1.2394579734378957,1.1915663549218725,9.536837140424991
B_flux_topology_linear,flux,0.1,0.09,0.0,0.8797113999598205,0.0066928509242848554,0.7636726554329454,0.7950618899948245,0.7950618899948245,0.4536621901758282,0.41786546586606443,0.5700211373008841,0.5958973727541871,0.013846005391243319,0.06331679037282463,1.0,1.0,-1.9652416775802135
C_flux_topology_halo,flux,10.0,0.09,0.25,0.00033191490682538127,0.9933071490757153,0.8532708452006369,0.8883428338521506,0.8883428338521506,0.5512646930755604,0.4852886172185146,0.46135161595801055,0.3691108276014385,5.224094617334906e-06,2.3889410297556846e-05,1.2394579734378957,1.1915663549218725,9.536724272768257
B_flux_topology_linear,flux,0.1,0.1,0.0,0.8797113999598205,0.0066928509242848554,0.7616890328847694,0.7929967346157897,0.7929967346157897,0.45154166775674615,0.4161318134419989,0.5717683695928235,0.6011021597604791,0.015384450434714798,0.07035198930313849,1.0,1.0,-2.219884757609171
C_flux_topology_halo,flux,10.0,0.1,0.25,0.00033191490682538127,0.9933071490757153,0.8532699494715054,0.8883419013058677,0.8883419013058677,0.5512637073297927,0.4852878396688816,0.4613522338249886,0.3691127406287771,5.804549574816562e-06,2.6543789219507607e-05,1.2394579734378957,1.1915663549218725,9.53660928555704
B_flux_topology_linear,flux,0.1,0.11,0.0,0.8797113999598205,0.0066928509242848554,0.7597156352802211,0.7909422244562058,0.7909422244562058,0.4494338964895905,0.4144068687664104,0.5735149038384645,0.6063040387095789,0.01692289547818628,0.07738718823345234,1.0,1.0,-2.4732152335134754
C_flux_topology_halo,flux,10.0,0.11,0.25,0.00033191490682538127,0.9933071490757153,0.853269087647147,0.8883410040579457,0.8883410040579457,0.5512627731823816,0.48528711228651816,0.4613528273613085,0.36911450795184764,6.385004532298219e-06,2.919816814145837e-05,1.2394579734378957,1.1915663549218725,9.536498650794776
