w0_offset,hump_amp,w0,w_z2,H0_eff_z0p1,H0_eff_z0p3,H0_eff_z0p5,H0_eff_z1p0,H0_eff_z1p5,H0_mean_lowz,H0_mean_z0p1_to_1p5,delta_H0_lowz,omega_de_1090,target_distance,cmb_safe,w_reasonable,not_too_extreme_z2,score
-0.02,-0.015,-1.0212698698293379,-1.0150386070262392,67.33190209640564,67.2350101221495,67.17950401705163,67.13811553414688,67.14461784851511,67.24880541186893,67.20582992365375,-0.15119458813107656,1.6801211928183234e-09,5.751194588131071,True,True,True,5.751194588131071
-0.005,-0.145,-1.0172754083502666,-1.1450096308222626,67.341577833423,67.24147037941411,67.16269773514539,67.03740764248387,66.97654575858512,67.24858198266084,67.1519398698103,-0.15141801733916793,1.2545719171358727e-09,5.751418017339162,True,True,True,5.751418017339162
-0.015,-0.06,-1.0200794793173518,-1.060028948044568,67.33463912778397,67.23578422656577,67.17175893454052,67.1008735084224,67.0835949495326,67.24739409629676,67.18533014936905,-0.15260590370324678,1.5181132138698024e-09,5.752605903703241,True,True,True,5.752605903703241
-0.01,-0.105,-1.0188890888053657,-1.105019289062897,67.33737638846631,67.23655844390743,67.16402076324849,67.06385463195365,67.02345130625395,67.24598519854074,67.16505230676596,-0.15401480145926882,1.3717270753689638e-09,5.754014801459263,True,True,True,5.754014801459263
-0.02,-0.02,-1.0216931597724506,-1.020038606285202,67.33043857852533,67.23087326192466,67.17308725557692,67.12763658194085,67.13185098799028,67.24479969867564,67.1987773331916,-0.15520030132437057,1.6598785374085662e-09,5.755200301324365,True,True,True,5.755200301324365
-0.005,-0.15,-1.0176986982933793,-1.1500096300812257,67.34011387845936,67.23733277421003,67.15628950580587,67.02705791159178,66.96417322549301,67.24457871949176,67.14499345911202,-0.15542128050825,1.239456420036872e-09,5.755421280508244,True,True,True,5.755421280508244
-0.015,-0.065,-1.0205027692604642,-1.0650289473035308,67.33317548640757,67.23164735430186,67.16534575933096,67.09044126226891,67.07096914470398,67.2433895333468,67.17831580140266,-0.15661046665320555,1.4998224841309943e-09,5.7566104666532,True,True,True,5.7566104666532
-0.01,-0.11,-1.0193123787484784,-1.1100192883218598,67.33591262359111,67.23242155966132,67.15761117457255,67.05346888721905,67.01096447054286,67.24198178594166,67.15807574311737,-0.1580182140583446,1.3552000542052084e-09,5.758018214058339,True,True,True,5.758018214058339
-0.02,-0.025,-1.0221164497155633,-1.025038605544165,67.3289751272292,67.22673711054344,67.16667272216205,67.11716803124102,67.11910762886518,67.2407949866449,67.19173212400817,-0.1592050133551055,1.6398797722009669e-09,5.7592050133551,True,True,True,5.7592050133551
-0.005,-0.155,-1.018121988236492,-1.1550096293401886,67.33864999008253,67.23319587803864,67.14988350392228,67.01671846229067,66.95182328562522,67.24057645734781,67.13805422399187,-0.15942354265219194,1.224523039442429e-09,5.759423542652186,True,True,True,5.759423542652186
-0.015,-0.07,-1.020926059203577,-1.070028946562494,67.33171191161627,67.22751119093495,67.15893481186438,67.08001937479007,67.05836652004733,67.23938597147186,67.17130876185061,-0.1606140285281441,1.4817521271488591e-09,5.760614028528138,True,True,True,5.760614028528138
-0.01,-0.115,-1.019735668691591,-1.1150192875808227,67.33444892530177,67.22828538436559,67.15120381331937,67.04309345811708,66.99850049587945,67.2379793743289,67.15110641539664,-0.1620206256711043,1.3388721560543884e-09,5.762020625671099,True,True,True,5.762020625671099
-0.02,-0.03,-1.022539739658676,-1.0300386048031278,67.32751174251712,67.222601667977,67.16026041645335,67.10670987293223,67.10638772109955,67.23679127564917,67.18469428419586,-0.163208724350838,1.6201219587257783e-09,5.763208724350832,True,True,True,5.763208724350832
-0.005,-0.16,-1.0185452781796047,-1.1600096285991515,67.33718616829246,67.2290596908709,67.14347972913741,67.00638928537943,66.9394958899502,67.23657519610026,67.13112215272608,-0.16342480389974412,1.2097695811527223e-09,5.763424803899738,True,True,True,5.763424803899738
-0.015,-0.075,-1.0213493491466896,-1.0750289458214568,67.33024840340983,67.22337573643613,67.152526091786,67.06960783683891,67.04578702585603,67.23538341054399,67.16430901886538,-0.16461658945601698,1.4638994877996033e-09,5.764616589456011,True,True,True,5.764616589456011
-0.01,-0.12,-1.0201589586347035,-1.1200192868397858,67.3329852935983,67.22414991799128,67.14479867913269,67.03272833547136,66.98605933291496,67.23397796357409,67.14414431182172,-0.16602203642591462,1.3227409818166526e-09,5.766022036425909,True,True,True,5.766022036425909
-0.02,-0.035,-1.0229630296017886,-1.0350386040620907,67.32604842438903,67.21846693419636,67.15385033809656,67.09626209789458,67.09369121470574,67.23278856556065,67.17766380185645,-0.16721143443935205,1.6006021939169093e-09,5.767211434439346,True,True,True,5.767211434439346
-0.005,-0.165,-1.0189685681227174,-1.1650096278581146,67.33572241308912,67.2249242126777,67.13707818109371,66.99607037165349,66.92719098949829,67.23257493562018,67.12419723360247,-0.1674250643798274,1.1951938774043653e-09,5.767425064379822,True,True,True,5.767425064379822
-0.015,-0.08,-1.0217726390898023,-1.0800289450804197,67.32878496178834,67.21924099077643,67.1461195987402,67.05920663926517,67.03323061248066,67.231381850435,67.15731656061016,-0.1686181495650061,1.44626194294924e-09,5.768618149565,True,True,True,5.768618149565
-0.01,-0.125,-1.0205822485778162,-1.1250192860987487,67.33152172848058,67.22001516050929,67.13839577165562,67.02237351010149,66.97364093236017,67.2299775535485,67.13718942062143,-0.17002244645151166,1.3068041612972866e-09,5.770022446451506,True,True,True,5.770022446451506
-0.02,-0.04,-1.0233863195449011,-1.0400386033210538,67.3245851728449,67.21433290917255,67.14744248673699,67.08582469700404,67.0810180597501,67.22878685625149,67.17064066510171,-0.17121314374851693,1.5813176096853665e-09,5.771213143748511,True,True,True,5.771213143748511
-0.005,-0.17,-1.0193918580658299,-1.1700096271170775,67.33425872447243,67.22078944343025,67.13067885943335,66.9857617119048,66.91490853536237,67.22857567577867,67.11727945492063,-0.17142432422133425,1.1807937865518978e-09,5.771424324221329,True,True,True,5.771424324221329
-0.015,-0.085,-1.022195929032915,-1.0850289443393826,67.32732158675167,67.21510695392693,67.13971533237127,67.04881577291356,67.02069723032825,67.22738129101663,67.15033137525833,-0.1726187089833786,1.428836901068171e-09,5.772618708983373,True,True,True,5.772618708983373
-0.025,0.0,-1.025,-1.000048261561688,67.32038592675035,67.20942567312545,67.14876734189572,67.11258300465575,67.12943004514254,67.22619298059051,67.18411839831397,-0.1738070194094945,1.7289851225500072e-09,5.773807019409489,True,True,True,5.773807019409489
-0.01,-0.13,-1.021005538520929,-1.1300192853577116,67.33005822994859,67.21588111189077,67.13199509053136,67.01202897282356,66.96124524498593,67.22597814412357,67.13024173003603,-0.1740218558764326,1.2910593528584619e-09,5.774021855876427,True,True,True,5.774021855876427
-0.02,-0.045,-1.0238096094880138,-1.0450386025800167,67.3231219878847,67.21019959287669,67.14103686201977,67.07539766113253,67.0683682063536,67.22478614759372,67.16362486205347,-0.17521385240628717,1.562265372497839e-09,5.7752138524062815,True,True,True,5.7752138524062815
-0.005,-0.17500000000000002,-1.0198151480089426,-1.1750096263760403,67.3327951024424,67.21665538309942,67.12428176379785,66.9754632969213,66.90264847869778,67.22457741644656,67.11036880499175,-0.1754225835534413,1.1665671927531194e-09,5.775422583553436,True,True,True,5.775422583553436
