A,p0,p_high,zt,w,theta_star,theta_err_ppm,theta_abs_err_ppm,r_s_Mpc,D_M_Mpc,cmb_soft_pass,cmb_strict_pass,sn_shape_max,sn_shape_end,sn_shape_rms,sn_offset,sn_good_pass,sn_excellent_pass,score
1.2,0.2,0.23,1.9,0.45,0.010431323919321247,1740.4754850812142,1740.4754850812142,143.7493974542541,13780.551593072158,True,False,0.13804585068599806,0.13804585068599806,0.10481261500697885,-0.16848548877876368,False,False,11.84315019839113
1.2,0.195,0.23,1.5,0.45,0.010431335643638986,1741.6013942867303,1741.6013942867303,143.7493974542541,13780.536104397359,True,False,0.13805398837535657,0.13805398837535657,0.10455506405258543,-0.16854191034807778,False,False,11.82793152665897
1.2,0.2,0.24,2.1,0.35,0.010431392917538404,1747.1015190724117,1747.1015190724117,143.74939745460756,13780.460441953086,True,False,0.13774243231509806,0.13774243231509806,0.10454557833960904,-0.16849023164367102,False,False,11.848527255442532
1.2,0.2,0.22,1.7,0.8,0.010431413468380208,1749.0750566789443,1749.0750566789443,143.74939745387985,13780.433293111646,True,False,0.13830512526507732,0.13830512526507732,0.10521197364650503,-0.16846208888146919,False,False,11.93075382985923
1.2,0.195,0.24,1.7,0.35,0.010431429461821547,1750.6109381888211,1750.6109381888211,143.74939745460756,13780.41216505584,True,False,0.13771287973666801,0.13771287973666801,0.1041203651961875,-0.1685540349043606,False,False,11.831401805387744
1.2,0.2,0.23,2.1,0.6,0.010431457169971986,1753.2718061678283,1753.2718061678283,143.7493974542541,13780.375561340694,True,False,0.138048661500612,0.138048661500612,0.10489990134700537,-0.16847932068935734,False,False,11.920404681354077
1.2,0.2,0.22,1.5,0.45,0.010431497161226468,1757.1122446960005,1757.1122446960005,143.74939745387985,13780.322731447566,True,False,0.13821298984242958,0.13821298984242958,0.10499205901272325,-0.16848186471668924,False,False,11.953746414130533
1.2,0.185,0.24,1.3,0.35,0.010431580012262054,1765.0685919846305,1765.0685919846305,143.74939745460756,13780.21328366689,True,False,0.13772507585395033,0.13772507585395033,0.10360026946461175,-0.16867493003729805,False,False,11.867943382670274
1.1500000000000001,0.2,0.24,1.3,0.6,0.010431582046161158,1765.263911300949,1765.263911300949,143.74939745386945,13780.210596797204,True,False,0.13811885584896308,0.13811885584896308,0.10468855468533844,-0.16854913699174764,False,False,11.800554034040836
1.2,0.19,0.23,1.3,0.45,0.010431678434996192,1774.520319996969,1774.520319996969,143.7493974542541,13780.08326752133,True,False,0.13792235039978587,0.13792235039978587,0.1042618401290621,-0.16859649791723066,False,False,11.980661193822725
1.2,0.2,0.23,1.9,0.35,0.010431703427093927,1776.9203601128866,1776.9203601128866,143.7493974542541,13780.050253432095,True,False,0.13782795189807237,0.13782795189807237,0.10461249461357808,-0.1684897656042755,False,False,12.020673366314142
1.2,0.2,0.22,1.5,0.35,0.010431737841305067,1780.2252242411594,1780.2252242411594,143.74939745387985,13780.004793131959,True,False,0.13808279972269352,0.13808279972269352,0.10483107399765908,-0.16848773495709443,False,False,12.064385477227576
1.2,0.195,0.23,1.5,0.35,0.010431759575485025,1782.3124001292151,1782.3124001292151,143.7493974542541,13779.976083044503,True,False,0.1378252958874029,0.1378252958874029,0.1042730937128863,-0.16855218331772193,False,False,12.022228528337505
1.2,0.2,0.22,1.7,0.6,0.010431768646133552,1783.1834722806602,1783.1834722806602,143.74939745387985,13779.964101021294,True,False,0.13810872843815267,0.13810872843815267,0.10498791569128553,-0.16847608717745052,False,False,12.094735963271331
1.2,0.2,0.24,2.1,0.25,0.0104317951459242,1785.7282991012626,1785.7282991012626,143.74939745460756,13779.929095978441,True,False,0.13749384736087933,0.13749384736087933,0.10437470282905428,-0.16849152983981952,False,False,12.040627177175859
1.2,0.195,0.23,1.7,0.6,0.010431804867014815,1786.6618344808546,1786.6618344808546,143.7493974542541,13779.916254835938,True,False,0.1378729694453232,0.1378729694453232,0.10454791466182961,-0.16853179960869843,False,False,12.07075295253213
1.2,0.19,0.24,1.5,0.35,0.010431806840945796,1786.8513949407013,1786.8513949407013,143.74939745460756,13779.913647401716,True,False,0.13756453580058312,0.13756453580058312,0.10371474697876097,-0.16861663200582674,False,False,11.993908877977747
1.2,0.195,0.22,1.3,0.8,0.01043183951351872,1789.9890061385024,1789.9890061385024,143.74939745387985,13779.870488574295,True,False,0.13811199140286354,0.13811199140286354,0.10493700676951816,-0.16850215796612153,False,False,12.128547126100925
1.2,0.19,0.24,1.7,0.6,0.01043185942045953,1791.9007086707998,1791.9007086707998,143.74939745460756,13779.844192750377,True,False,0.13763589727739856,0.13763589727739856,0.10410783622929289,-0.16858751228635782,False,False,12.05678463163437
1.2,0.2,0.22,1.9,0.8,0.010431879104650876,1793.7910201357047,1793.7910201357047,143.74939745387985,13779.818191124514,True,False,0.13809512690032003,0.13809512690032003,0.1050435924856685,-0.1684680578784518,False,False,12.158323661153831
1.2,0.19,0.23,1.5,0.8,0.010431889690326447,1794.8075833026928,1794.8075833026928,143.7493974542541,13779.80420820149,True,False,0.13789116944733829,0.13789116944733829,0.10454675951075204,-0.16855279919794222,False,False,12.116742213773895
1.2,0.18,0.24,1.3,0.6,0.010431898438070207,1795.647646276636,1795.647646276636,143.74939745460756,13779.792653081055,True,False,0.13765003601941808,0.13765003601941808,0.10381055177276409,-0.16867495415790282,False,False,12.053453114077913
1.2,0.195,0.23,1.9,0.8,0.010431993199864894,1804.7478071001283,1804.7478071001283,143.7493974542541,13779.667480622575,True,False,0.1378498813654995,0.1378498813654995,0.10464538977148505,-0.16851774827722701,False,False,12.179763655719766
