z,elapsed_years_since_zmax,sfrd_msun_yr_mpc3,rho_star_msun_mpc3,lum_density_lsun_mpc3,lum_density_w_mpc3,fusion_chain_rate_mpc3_s,proton_processing_rate_mpc3_s,T_sink_K,entropy_rate_J_K_mpc3_s,entropy_rate_kB_mpc3_s
16.512752125354226,56056211.33164535,0.0014446874564915946,46507.265131776294,15502.421710592098,5.934327030814655e+30,1.3872343076272459e+42,5.5489372305089837e+42,47.731005917652936,1.233004325759011e+29,8.930613977622199e+51
16.509418236372728,56123356.0691203,0.0014454852570648785,46578.09699558811,15526.032331862703,5.943365176637042e+30,1.3893471042252508e+42,5.557388416901003e+42,47.72191940323387,1.235119314699689e+29,8.945932780161278e+51
16.506084347391234,56190532.76824837,0.0014462836501842684,46649.001714034704,15549.667238011569,5.952412618710829e+30,1.391462073955745e+42,5.56584829582298e+42,47.7128328888148,1.2372370474384884e+29,8.961271455949254e+51
16.502750458409736,56257741.450330555,0.0014470826364027212,46719.97937593928,15573.326458646427,5.961469368369852e+30,1.3935792194681762e+42,5.574316877872705e+42,47.703746374395735,1.2393575279087568e+29,8.976630033475247e+51
16.499416569428238,56324982.13668588,0.0014478822162738159,46791.03007025,15597.010023416668,5.970535436963901e+30,1.3956985434157206e+42,5.582794173662882e+42,47.69465985997666,1.2414807600501701e+29,8.992008541274213e+51
16.49608268044674,56392254.84865171,0.0014486823903517513,46862.15388604057,15620.717962013523,5.979610835858776e+30,1.3978200484552982e+42,5.591280193821193e+42,47.685573345557586,1.2436067478087529e+29,9.007407007927089e+51
16.492748791465246,56459559.607583635,0.00144948315919135,46933.35091251022,15644.450304170074,5.988695576436304e+30,1.399943737247574e+42,5.599774948990295e+42,47.676486831138526,1.2457354951368852e+29,9.02282546206085e+51
16.489414902483748,56526896.434855774,0.0014502845233480613,47004.62123898424,15668.207079661413,5.997789670094389e+30,1.402069612456972e+42,5.608278449827888e+42,47.66740031671945,1.247867005993323e+29,9.038263932348647e+51
16.48608101350225,56594265.35186035,0.0014510864833779562,47075.964954913725,15691.988318304575,6.006893128246992e+30,1.4041976767516704e+42,5.616790707006682e+42,47.65831380230038,1.2500012843431955e+29,9.053722447509798e+51
16.482747124520753,56661666.38000801,0.0014518890398377306,47147.382149876066,15715.79404995869,6.016005962324186e+30,1.4063279328036128e+42,5.625311731214451e+42,47.64922728788131,1.2521383341580263e+29,9.069201036309926e+51
16.479413235539255,56729099.54072778,0.0014526921932847075,47218.872913575105,15739.624304525036,6.025128183772184e+30,1.4084603832885162e+42,5.633841533154065e+42,47.640140773462235,1.2542781594157441e+29,9.084699727561053e+51
16.47607934655776,56796564.85546698,0.0014534959442768368,47290.43733584123,15763.479111947076,6.03425980405334e+30,1.4105950308858708e+42,5.642380123543483e+42,47.631054259043175,1.2564207641006877e+29,9.100218550121629e+51
16.472745457576263,56864062.34569156,0.0014543002933726974,47362.07550663189,15787.358502210629,6.043400834646228e+30,1.4127318782789582e+42,5.650927513115833e+42,47.6219677446241,1.258566152203632e+29,9.115757532896717e+51
16.469411568594765,56931592.03288569,0.0014551052411314943,47433.78751603136,15811.262505343788,6.052551287045602e+30,1.4148709281548426e+42,5.65948371261937e+42,47.612881230205026,1.2607143277217818e+29,9.131316704837955e+51
16.46607767961327,56999153.93855197,0.0014559107881130632,47505.573454251164,15835.191151417055,6.061711172762449e+30,1.4170121832043827e+42,5.668048732817531e+42,47.603794715785966,1.2628652946587913e+29,9.146896094943692e+51
16.462743790631773,57066748.084211685,0.0014567169348778729,47577.43341163049,15859.144470543497,6.07088050332405e+30,1.4191556461222466e+42,5.676622584488987e+42,47.59470820136689,1.2650190570247839e+29,9.162495732259132e+51
16.459409901650275,57134374.49140439,0.0014575236819870197,47649.367478635955,15883.122492878652,6.080059290273948e+30,1.421301319606903e+42,5.685205278427612e+42,47.585621686947825,1.2671756188363483e+29,9.17811564587631e+51
16.456076012668778,57202033.18168821,0.0014583310300022322,47721.37574586212,15907.125248620707,6.089247545172007e+30,1.423449206360637e+42,5.693796825442548e+42,47.57653517252875,1.2693349841165614e+29,9.193755864934254e+51
16.45274212368728,57269724.176639795,0.0014591389794858735,47793.45830403159,15931.15276801053,6.098445279594431e+30,1.4255993090895523e+42,5.702397236358209e+42,47.567448658109676,1.2714971568949947e+29,9.209416418619031e+51
16.449408234705786,57337447.49785426,0.001459947531000939,47865.61524399519,15955.205081331731,6.107652505133787e+30,1.4277516305035783e+42,5.711006522014313e+42,47.558362143690616,1.273662141207727e+29,9.22509733616384e+51
16.446074345724288,57405203.16694552,0.0014607566851110594,47937.84665673243,15979.28221891081,6.116869233399058e+30,1.429906173316482e+42,5.719624693265928e+42,47.54927562927154,1.2758299410973626e+29,9.240798646849144e+51
