Galaxy,MAE_v3o,MAE_v3q_ungated,MAE_v3q_retention,T,f_gas,Vflat_filled,G_ret,Imp_vs_v3q_ungated
NGC4214,31.329096988488352,31.329096988488356,31.329096988488356,10,0.101770009037406,1308.67,0.9990769004942172,0.0
NGC4217,36.038322652549425,48.551983795134696,48.55131581563544,3,0.0079261235211354,4373.51,0.9999547488099592,0.0006679794992550114
NGC4389,29.911782695163193,51.521993467243114,51.226797808142216,4,0.0066774487743541,322.72,0.9703126151109835,0.29519565910089796
NGC4559,18.903238920459298,9.602225749649042,9.595507932023754,6,0.0738778493777531,1602.62,0.9994435747210653,0.006717817625288447
NGC5005,20.517614425880588,15.656134248069785,14.967401281995624,4,0.0019014804383412,96.57,0.6155266455494801,0.688732966074161
NGC5033,52.26385456279259,16.126395695276642,16.20560620970381,5,0.0265113031244134,614.94,0.9939326358710772,-0.07921051442716731
NGC5055,24.97846837466783,30.469288422588328,30.467563431677757,4,0.0199823824719053,3348.34,0.9999117707127908,0.0017249909105707673
NGC5371,15.949407153675361,36.40691284778717,36.391073729217005,4,0.0086609401582354,1395.82,0.999214203619157,0.01583911857016318
NGC5585,16.95274975952243,13.180756977680375,13.221006982682082,7,0.1320320006795101,297.05,0.9637252592170329,-0.040250005001707834
NGC5907,54.439256765006455,6.750643238034178,6.750632153153174,5,0.0308956060362069,8646.29,0.9999917653167875,1.1084881004208569e-05
NGC5985,110.221403923059,59.310914315120485,59.326726655989546,3,0.0145501997272308,1461.61,0.9992996068018979,-0.01581234086906136
NGC6015,41.424305064327626,13.551171446263675,13.555344971428491,6,0.0460749736556483,1926.77,0.9996488458970247,-0.004173525164816283
NGC6195,12.363481564344353,38.11295403478846,35.59372638148777,3,0.0140210276058228,174.11,0.8748075342057128,2.519227653300689
NGC6503,33.475633767822565,7.5469730747429065,7.7357880896246565,6,0.0348566643804779,398.87,0.9823033060470032,-0.18881501488175
NGC6674,79.80307211389861,15.436234052215465,15.457549094637654,3,0.0383311420475141,1370.35,0.9991772105259289,-0.021315042422189734
NGC6789,18.41560307321457,18.41560307321457,18.41560307321457,11,0.0432636191423815,319.76,0.969641804021282,0.0
NGC6946,21.992604546480987,10.895650397335613,10.892748256296994,6,0.0222841727734813,2232.7,0.9997570351180347,0.0029021410386196322
NGC7331,33.85951663820643,29.24357227199596,29.234697440733427,3,0.011609283511594,1806.47,0.9995874573239665,0.008874831262531302
NGC7793,14.307597746316164,10.30340915873936,10.3019933140996,7,0.031463824967791,1068.64,0.998468979594798,0.0014158446397605218
NGC7814,50.78755531946237,20.57285482651719,20.574657473742736,2,0.0038043874898714,2635.3,0.9998394611728989,-0.0018026472255456838
PGC51017,6.401247056722132,6.401247056722132,6.401247056722132,11,0.2564734776894073,93.94,0.5990657992907876,0.0
UGC00128,50.471162150971914,31.408469285291403,35.7076201694181,8,0.1412228329558381,88.89,0.5654798979104325,-4.299150884126696
UGC00191,18.170497405345866,12.197746908071947,12.390871266285266,9,0.1512926693539575,207.41,0.9154193841194654,-0.19312435821331952
UGC00634,38.79534552961387,28.925091112328886,30.121508273317446,9,0.2458415313479125,126.13,0.7573519836076228,-1.1964171609885597
UGC00731,29.446269817039944,29.446269817039937,29.446269817039937,10,0.598089744195943,82.57,0.5197520803235556,0.0
UGC00891,18.557934058174173,15.002261561209469,15.485058098250272,9,0.2333677702891064,113.98,0.7078553894451429,-0.4827965370408034
UGC01230,34.781465907213274,24.711171652864856,28.12922247453271,9,0.1833130054724459,69.32,0.4113873922776489,-3.4180508216678547
UGC01281,14.246958803067717,11.350640700090466,11.60176394308908,8,0.1813619539707424,135.78,0.7896012008388508,-0.25112324299861477
UGC02023,7.786690917252803,7.786690917252803,7.786690917252803,10,0.0884267835264502,121.57,0.7400366369712452,0.0
UGC02259,36.46003151614331,25.169999704804162,25.84223896456982,8,0.0707841612062891,172.52,0.8722740103096022,-0.6722392597656572
UGC02455,24.050587031293635,24.050587031293638,24.050587031293638,10,0.0552990500176306,795.85,0.9968065670178107,0.0
UGC02487,127.98350409691118,44.7061098280531,44.7514729724123,0,0.0096580508557706,1150.35,0.9987262141369406,-0.04536314435920019
UGC02885,74.76795731073595,19.448784390526654,19.712308163617564,5,0.0257371736949881,470.79,0.9882370024942543,-0.2635237730909097
UGC02916,25.559032988487182,26.615326623971463,26.47800346310947,2,0.0474946000041214,520.99,0.9908450235514153,0.13732316086199248
UGC02953,51.994141959964985,23.53706328047423,23.537594080791163,2,0.0078083242189293,4215.31,0.9999503831005684,-0.000530800316933977
UGC03205,49.16062951572104,12.214732807331325,12.215560176646372,2,0.0221491032540573,3915.89,0.9999403482964193,-0.0008273693150471217
UGC03546,36.378775327947594,34.06571724807213,34.03176247713764,1,0.0069727298695559,922.21,0.9977884900923205,0.03395477093449273
UGC03580,23.944008593970732,26.928530126166034,26.596498176397013,1,0.0805646079057859,302.57,0.9653005294178049,0.3320319497690214
UGC04278,22.307483492088167,14.731558660350883,14.773987607544395,7,0.1850889356650472,377.42,0.979733870470518,-0.0424289471935122
UGC04305,6.673650737817217,6.673650737817217,6.673650737817217,10,0.1995997998999499,88.07,0.5597785332488674,0.0
UGC04325,35.670602273722835,28.395559719687,28.669836614406925,9,0.0817405051243049,213.22,0.9206158889173066,-0.2742768947199252
UGC04483,4.615566531248186,4.615566531248186,4.615566531248186,10,0.3956861286723688,82.57,0.5197520803235556,0.0
UGC04499,17.70420409355529,9.469175610093336,10.351725737379464,8,0.1586251761899599,127.3,0.76156879275191,-0.8825501272861285
UGC05005,21.840340217757475,21.84034021775748,21.84034021775748,10,0.1671301621170982,65.59,0.37836154065182237,0.0
UGC05253,23.636724721100826,16.416763104105545,15.653342968825013,2,0.024788298887319,189.16,0.8958010653395962,0.7634201352805317
UGC05414,9.914211293984062,9.914211293984064,9.914211293984064,10,0.1196879477989847,127.3,0.76156879275191,0.0
UGC05716,26.54634495846319,19.616568529430662,21.18167866259375,9,0.3310610645685344,90.54,0.5767419180760269,-1.5651101331630883
UGC05721,32.21231372011014,22.74890526845088,22.758499841568387,7,0.219682229916002,913.76,0.9977371240732122,-0.00959457311750711
UGC05750,14.963271848102654,11.447522701790255,11.504271592391007,8,0.0805697601157997,124.98,0.7531191699189047,-0.05674889060075117
UGC05764,25.275472422089404,25.275472422089404,25.275472422089404,10,0.3377896196575203,33.79,0.10389709338966314,0.0
UGC05829,15.51865408341256,15.51865408341256,15.51865408341256,10,0.325454062704068,63.22,0.3569756961375327,0.0
UGC05918,14.965216831757818,14.965216831757818,14.965216831757818,10,0.2532099153210556,24.94,0.05147146796688503,0.0
UGC05986,37.45533645029462,28.86901656027454,28.87069411190299,9,0.1312669513964675,1725.16,0.9995371391450407,-0.0016775516284468495
UGC05999,29.121199849910635,29.121199849910635,29.121199849910635,10,0.1371423500937822,51.62,0.2506227700688058,0.0
UGC06399,25.46560774820245,18.76164138158213,18.863281405996247,9,0.0724296686764024,311.05,0.9675421790614865,-0.10164002441411668
UGC06446,31.834374463489347,20.60595813949485,23.08874417513253,7,0.270748604605503,86.46,0.5483826629301721,-2.4827860356376803
UGC06614,28.76337648236101,33.541081780673025,33.336191564074646,1,0.0447269666041156,540.54,0.9916437570858088,0.20489021659837903
UGC06628,7.972505686081073,16.925487679271686,15.322520552387894,9,0.0964233929434509,103.0,0.6528874968561034,1.602967126883792
UGC06667,40.05298110792145,30.826239615313668,30.85059102661181,6,0.1334789733741721,614.94,0.9939326358710772,-0.024351411298141556
UGC06786,56.50001088202969,20.326514139615107,20.34982215871376,0,0.0179006001473276,1078.52,0.9985037500112833,-0.023308019098653432
UGC06787,52.0810023869473,26.162239517761375,26.311176192473216,2,0.0134343461321658,429.37,0.9852366041902649,-0.14893667471184102
UGC06818,15.157016238620905,13.289433301811956,13.30272287166251,9,0.1530729903883384,286.31,0.9603657768345228,-0.013289569850554628
UGC06917,30.838324313996452,20.35478812203828,20.566362420038384,9,0.0730134849944057,261.11,0.9506068044542798,-0.2115742980001052
UGC06923,14.451321569848355,14.451321569848353,14.451321569848353,10,0.0693013061341739,347.4,0.9751837091879779,0.0
UGC06930,29.66735691567389,12.888729844131092,13.6456578158924,7,0.0879238545081293,189.16,0.8958010653395962,-0.7569279717613089
UGC06973,32.79564379089729,36.24112987647265,36.241103928997234,2,0.0085817035234899,12730.05,0.9999968692503969,2.59474754145117e-05
UGC06983,39.64016725117323,21.632625960570657,23.791270158582172,6,0.1296522453099295,121.57,0.7400366369712452,-2.1586441980115154
UGC07089,11.703089330857047,7.16607174922038,7.160474439790831,8,0.0826331320670514,520.99,0.9908450235514153,0.005597309429548503
UGC07125,7.7894017939085,2.974367302882846,2.8581895559237065,9,0.3122536019196036,103.0,0.6528874968561034,0.1161777469591394
UGC07151,15.585617217440761,4.390888269852355,4.40010752975379,6,0.0669385780862926,965.67,0.9980285032603087,-0.00921925990143535
UGC07232,7.615666580325007,7.615666580325007,7.615666580325007,10,0.097703535724552,227.42,0.9316254217776689,0.0
UGC07261,20.70437325502788,9.39476540150105,9.432839402130261,8,0.1739735219167961,566.02,0.9925458844980128,-0.0380740006292104
UGC07323,11.278270401878384,8.570385055457905,8.578032270021993,8,0.0446523315691137,283.68,0.9594782398520855,-0.00764721456408779
UGC07399,48.31595001333169,39.450104010345385,40.35650418993693,8,0.1463405628539991,135.78,0.7896012008388508,-0.9064001795915431
UGC07524,22.208361548757928,15.741169881602314,16.719576410049605,9,0.1626604299305585,106.86,0.6734283714085669,-0.9784065284472909
UGC07559,4.50840764364975,4.50840764364975,4.50840764364975,10,0.291996310586279,55.06,0.2821123190605297,0.0
UGC07577,2.2735930343322504,2.273593034332251,2.273593034332251,10,0.2064051918735891,54.55,0.27742465690295437,0.0
UGC07603,21.096242274841565,13.18725046798602,13.216148169486203,7,0.1543492537581978,520.99,0.9908450235514153,-0.028897701500183004
UGC07608,24.705166156971174,24.705166156971174,24.705166156971174,10,0.3502498092589403,46.65,0.2061346496720091,0.0
UGC07690,13.452524077745462,13.452524077745457,13.452524077745457,10,0.1078669910786699,395.21,0.9818982058682434,0.0
UGC07866,4.800427309221386,4.800427309221386,4.800427309221386,10,0.2019975802507272,97.46,0.6209396591423028,0.0
UGC08286,31.608886343824103,17.740816137070112,17.74484142163375,6,0.1197751113081194,1488.78,0.9993311048330876,-0.00402528456363882
UGC08490,31.70357638611278,23.37377800833758,23.401059735801827,9,0.1584748287161155,576.54,0.9928788909643808,-0.02728172746424562
UGC08550,19.24259341701871,9.963867314782,9.967511961984156,7,0.2095358963698824,1284.78,0.9990334305370889,-0.0036446472021562926
UGC08699,38.10052111236864,10.32576715231716,10.332826843738502,2,0.0193836172381061,1370.35,0.9991772105259289,-0.007059691421341441
UGC08837,7.081022846147909,7.081022846147909,7.081022846147909,10,0.1452262335357947,77.42,0.4795230287472546,0.0
UGC09037,18.265494856829648,27.856122400342144,27.813446692565275,6,0.0688673391492551,841.07,0.9972175042834877,0.04267570777686913
UGC09133,41.908928409720644,19.256001225942562,19.210272052342244,2,0.0304705420211309,864.63,0.997402714070498,0.04572917360031781
UGC09992,3.819021600248773,3.819021600248773,3.819021600248773,10,0.201118434192131,73.25,0.44512913820483374,0.0
UGC10310,19.21542463819656,12.03088789543352,12.45785718037307,9,0.1544997513520233,158.79,0.8473401351965026,-0.4269692849395508
UGC11455,32.876548124960145,21.546993548031942,21.54696108409796,6,0.0093871393721492,9568.2,0.9999936078555611,3.2463933983706283e-05
UGC11557,13.509106630823164,28.327510973875548,28.140687367332088,8,0.054160840336003,337.93,0.9734555207862564,0.18682360654345942
UGC11820,17.626107813665957,13.962419372961104,16.244361789379404,9,0.3515531305276754,34.11,0.10611154964260022,-2.2819424164182998
UGC11914,41.56296160771728,18.314206258733208,18.315306595877043,2,0.00157195118614,3168.33,0.9998987010490703,-0.0011003371438356169
UGC12506,84.75957109693267,41.28946929138327,41.28993533033697,6,0.063463504419975,5608.28,0.9999756981020532,-0.0004660389536965681
UGC12632,22.47482265225428,15.888172244287329,18.11760627887427,9,0.2628494241046539,66.81,0.38925742627479626,-2.229434034586941
UGC12732,29.124561282412277,20.785172680261766,21.7943110568001,9,0.3686945193443815,120.46,0.7356008553002584,-1.0091383765383348
UGCA281,6.599049329733746,6.599049329733747,6.599049329733747,11,0.078349771012675,12.05,0.008728413406981763,0.0
UGCA442,20.149348314731995,17.098489817215906,17.477368316050267,9,0.333199973327999,116.1,0.7172909227662028,-0.37887849883436076
UGCA444,11.599199045075773,11.599199045075775,11.599199045075775,10,0.5976125008383072,22.74,0.041298528472354365,0.0
