H0,omega_m,Omega_m,p0,p_high,theta_err_ppm,chi2_bao,sn_shape_max,best_Om_ref,score
73.0,0.14,0.26271345468192914,0.2,0.22,522.0683781615055,39.11459190403891,0.012036218355937933,0.24,46.29065307172307
73.0,0.14,0.26271345468192914,0.17,0.22,427.2999319041087,41.4429074851043,0.011257345579778644,0.24,46.324357853992105
69.0,0.15,0.31505986137366104,0.18,0.2,1034.661230835547,19.31975096018486,0.013512958580356838,0.30000000000000004,46.53934764902418
70.0,0.145,0.29591836734693877,0.16,0.2,1120.0134741975028,15.234252124535915,0.010523702196984175,0.28,46.87187745396194
73.0,0.14,0.26271345468192914,0.21000000000000002,0.2,591.1500055919704,38.49721024177392,0.013606375488606659,0.24,47.69650210440098
73.0,0.14,0.26271345468192914,0.19,0.25,560.6299817295508,39.71348455216151,0.010535600576851323,0.24,47.848631161300794
73.0,0.14,0.26271345468192914,0.16,0.24000000000000002,505.67799513506696,42.16996516624678,0.012158724991657266,0.24,48.93230751889919
69.0,0.15,0.31505986137366104,0.16,0.25,1104.4286934037048,18.15462737336075,0.010676861426595963,0.30000000000000004,48.93368426850295
71.0,0.145,0.2876413410037691,0.16,0.23,1109.0349390179213,18.09167046795107,0.009314170927027021,0.27,49.057517317157874
73.0,0.14,0.26271345468192914,0.17,0.21000000000000002,550.6648908688281,41.49840558898356,0.011635946144323839,0.24,49.41768924655703
73.0,0.14,0.26271345468192914,0.2,0.23,641.3959561619887,39.06591726856642,0.012079528567021214,0.24,49.71542410909392
69.0,0.15,0.31505986137366104,0.17,0.22,1112.5664874064248,18.734299823633517,0.012069939853972755,0.30000000000000004,50.04361316632659
71.0,0.145,0.2876413410037691,0.17,0.2,1141.7757808902743,18.07582425762585,0.01078449119402336,0.27,50.95788572910065
73.0,0.14,0.26271345468192914,0.19,0.26,674.2878077456432,39.66729379900889,0.010579009123318883,0.24,51.313683575947685
73.0,0.14,0.26271345468192914,0.21000000000000002,0.21000000000000002,714.3542186474086,38.447239250215304,0.013659060615374585,0.24,51.67121283493524
73.0,0.14,0.26271345468192914,0.16,0.23,625.2622880231198,42.22422864543932,0.012534288906806523,0.24,52.39082286203522
70.0,0.145,0.29591836734693877,0.16,0.21000000000000002,1227.8726017195092,15.207398942737436,0.010571820976679192,0.28,53.17858559098073
73.0,0.14,0.26271345468192914,0.17,0.2,676.3197112066858,41.55549730963996,0.012017548563235891,0.24,53.35175978748167
73.0,0.14,0.26271345468192914,0.2,0.24000000000000002,758.5804905371575,39.01868622782749,0.012122835125680353,0.24,53.77220307212843
69.0,0.15,0.31505986137366104,0.16,0.24000000000000002,1196.8596979772117,18.171359330946313,0.010622843875339072,0.30000000000000004,54.265299776998454
71.0,0.145,0.2876413410037691,0.16,0.22,1217.3386761623226,18.12880399998678,0.009264785049367674,0.27,55.39123091703015
69.0,0.15,0.31505986137366104,0.17,0.21000000000000002,1209.5531707478297,18.75358730135891,0.012016103648704757,0.30000000000000004,55.690025990253154
73.0,0.14,0.26271345468192914,0.21000000000000002,0.22,835.2896929464275,38.398802588383155,0.013711739181729854,0.24,56.31155384541605
73.0,0.14,0.26271345468192914,0.16,0.22,747.0138846917765,42.279992622178234,0.012912807029572093,0.24,56.647587683693125
73.0,0.14,0.26271345468192914,0.2,0.25,873.6807064484458,38.97284894641308,0.012166138031830087,0.24,58.425835653443315
73.0,0.14,0.26271345468192914,0.22,0.2,903.9675685295051,37.8078104824751,0.015323417894471447,0.24,58.82376244622526
70.0,0.145,0.29591836734693877,0.16,0.22,1333.785179668593,15.181916926719785,0.01061993341932066,0.28,59.93844702888632
69.0,0.15,0.31505986137366104,0.16,0.23,1290.928086016474,18.189325071808085,0.010568815863905456,0.30000000000000004,60.13095782537486
