V_ref,n,Point_MAE,Galaxy_MAE
165.0,5.5,20.42742782119875,19.67280479812113
165.0,5.75,20.44647965801558,19.691726184289895
165.0,6.0,20.46433641818089,19.709488110752158
170.0,1.0,19.970583202085145,19.18439986116348
170.0,1.25,19.97251358442822,19.203924815565443
170.0,1.5,19.991737224030572,19.23161072785841
170.0,1.75,20.01923064190377,19.263694222364368
170.0,2.0,20.05074641008505,19.297999355734568
170.0,2.25,20.08447678954035,19.333783515816606
170.0,2.5,20.119093440171262,19.37004344264008
170.0,2.75,20.153185676298378,19.40550948730625
170.0,3.0,20.18663639428757,19.440013405962354
170.0,3.25,20.21906881114273,19.47319347836685
170.0,3.5,20.249964004653396,19.50468677784749
170.0,3.75,20.279209848329153,19.534440038843236
170.0,4.0,20.30671666016049,19.562416219517768
170.0,4.25,20.332563848780186,19.58869506419705
170.0,4.5,20.357179069694034,19.61365100133219
170.0,4.75,20.380742200335956,19.637537450800878
170.0,5.0,20.403099035823384,19.660211545257916
170.0,5.25,20.424377382543895,19.681845361628053
170.0,5.5,20.44425091563436,19.702085459379408
170.0,5.75,20.462814928386365,19.72103024843768
170.0,6.0,20.48016145856794,19.738773601554904
175.0,1.0,19.981290171069144,19.19525997544058
175.0,1.25,19.984263133170092,19.216724768748723
175.0,1.5,20.00492359971604,19.2464665999346
175.0,1.75,20.03368459486007,19.280456169362623
175.0,2.0,20.066450332512968,19.31659353973041
175.0,2.25,20.101429681901646,19.354072643875472
175.0,2.5,20.13676721699186,19.39160329902734
175.0,2.75,20.171351278027633,19.428241122508734
175.0,3.0,20.204942132508844,19.463602626564107
175.0,3.25,20.237388574722967,19.497509841006867
175.0,3.5,20.268137605397083,19.529586421305897
175.0,3.75,20.297145056374568,19.559848940950676
175.0,4.0,20.324434274374404,19.58826482768626
175.0,4.25,20.350275235994307,19.61512316627446
175.0,4.5,20.37495852333587,19.640709483396048
175.0,4.75,20.39823842974885,19.665016905441686
175.0,5.0,20.420263113857327,19.68814169467471
175.0,5.25,20.44084266100545,19.70975370535884
175.0,5.5,20.45999191920638,19.729922915311995
175.0,5.75,20.47780826755101,19.748751993487613
175.0,6.0,20.494387982167176,19.76633961402742
180.0,1.0,19.99195510341304,19.20603521666562
180.0,1.25,19.996058119774492,19.22954721867811
180.0,1.5,20.017979853621917,19.261219118355665
180.0,1.75,20.04803311453465,19.297022394407996
180.0,2.0,20.082028964402614,19.334851143630722
180.0,2.25,20.11812344302489,19.373930557595415
180.0,2.5,20.154110974934323,19.412622303207993
180.0,2.75,20.189216543914142,19.450334222369374
180.0,3.0,20.2230821702955,19.486598277494178
180.0,3.25,20.255538132054436,19.521172562964143
180.0,3.5,20.286343394094754,19.553871834005648
180.0,3.75,20.31524323087719,19.58457413659824
180.0,4.0,20.34237579114988,19.613437547529227
180.0,4.25,20.368258287508315,19.640939023470164
180.0,4.5,20.392540801259415,19.6668687051496
180.0,4.75,20.415569149598905,19.691615456859264
180.0,5.0,20.43700454753489,19.714746123475425
180.0,5.25,20.45688072766373,19.736275535836544
180.0,5.5,20.475373774105567,19.756345405496702
180.0,5.75,20.49252010245315,19.775036514588486
180.0,6.0,20.508464874539353,19.792462541990275
185.0,1.0,20.00267239437295,19.216881040293945
185.0,1.25,20.007785505235656,19.2422718648314
185.0,1.5,20.030961035334986,19.27574997045753
185.0,1.75,20.062179608849615,19.3132257873063
185.0,2.0,20.09740103858406,19.352750797799196
185.0,2.25,20.134512081606484,19.393346103948712
185.0,2.5,20.171219739306878,19.433272805707634
185.0,2.75,20.2067582703555,19.471914570669465
185.0,3.0,20.2408459136515,19.50892697488335
185.0,3.25,20.273295410209723,19.544058247490046
185.0,3.5,20.30401034877215,19.577225867331535
185.0,3.75,20.332851461006037,19.608385299476307
185.0,4.0,20.360170886577595,19.637908842418078
185.0,4.25,20.38584875201502,19.665671734219625
185.0,4.5,20.410130967045994,19.692180046830842
185.0,4.75,20.432825635403447,19.717082835239264
185.0,5.0,20.453813822985456,19.740211169983453
185.0,5.25,20.473407243978944,19.762003803023745
185.0,5.5,20.49152424700928,19.782265575461388
185.0,5.75,20.508325537618852,19.801131415680278
185.0,6.0,20.523876579022183,19.818692945376025
190.0,1.0,20.013380918883986,19.22780785196554
190.0,1.25,20.019536644020032,19.25507924562616
190.0,1.5,20.04381182068613,19.290259837699324
190.0,1.75,20.076275844644467,19.329450910072556
190.0,2.0,20.11269694186228,19.370739753120827
190.0,2.25,20.150746950295787,19.412731061174334
190.0,2.5,20.188131147595058,19.453801973392114
190.0,2.75,20.224128895639257,19.493353737398856
190.0,3.0,20.258483431126212,19.531068867531918
190.0,3.25,20.29091051488372,19.566717128144816
190.0,3.5,20.321479398773864,19.600333746086243
190.0,3.75,20.35037134951815,19.632052337297566
190.0,4.0,20.37769518307374,19.662023403687208
190.0,4.25,20.40331246982385,19.690281225571695
190.0,4.5,20.427744346294507,19.71757786084123
190.0,4.75,20.45031194562652,19.742916593682587
190.0,5.0,20.47114150556108,19.766430447644083
190.0,5.25,20.4903561116376,19.7882493158349
190.0,5.5,20.508074085032202,19.80849789164779
190.0,5.75,20.52440796759296,19.827294416462152
190.0,6.0,20.53949451958432,19.844762611994888
195.0,1.0,20.02398877384461,19.23855417445784
195.0,1.25,20.031178313584633,19.267662718246253
195.0,1.5,20.05649248001185,19.30448779223728
195.0,1.75,20.090191100554552,19.345405692449066
195.0,2.0,20.1278437665261,19.38843141671006
195.0,2.25,20.166728144808797,19.43168775557581
195.0,2.5,20.20470791021889,19.47380436892927
195.0,2.75,20.24115205681117,19.514217488212072
195.0,3.0,20.275723413590665,19.552598410591315
195.0,3.25,20.308166417708076,19.588718133068678
195.0,3.5,20.338682903156883,19.622792461167244
195.0,3.75,20.367653529990125,19.655168990805937
195.0,4.0,20.39510015024135,19.685846337626955
195.0,4.25,20.421057214394917,19.7151282691594
195.0,4.5,20.44525161066707,19.742580823737455
195.0,4.75,20.46754875004312,19.768022346736682
195.0,5.0,20.488105981119496,19.79159955296823
195.0,5.25,20.50702909171793,19.813442490036337
195.0,5.5,20.524441749242445,19.833681383067848
195.0,5.75,20.540466639604954,19.85244739201145
195.0,6.0,20.555330818719547,19.870011922379746
200.0,1.0,20.034462439596357,19.249114124118556
200.0,1.25,20.04262438916057,19.2799960007809
200.0,1.5,20.068940305757202,19.31844898440207
200.0,1.75,20.10387579146451,19.361140513325097
200.0,2.0,20.142776212614617,19.405769696299302
200.0,2.25,20.182488278015892,19.450264889003837
200.0,2.5,20.220981829317477,19.49326485709207
200.0,2.75,20.257915682880338,19.53448279588415
200.0,3.0,20.29279748007951,19.573505578047577
200.0,3.25,20.3254896357914,19.610265799048783
200.0,3.5,20.35627482727423,19.645210921788692
200.0,3.75,20.385399546573787,19.678238077456534
200.0,4.0,20.412853124119312,19.70936984230516
200.0,4.25,20.438859805502275,19.7391025242034
200.0,4.5,20.462867334165157,19.766684646712275
200.0,4.75,20.48494853820296,19.792207605517337
200.0,5.0,20.505246113115327,19.81581968201244
200.0,5.25,20.5238968133534,19.837663880618607
200.0,5.5,20.541075709002364,19.85793962820471
200.0,5.75,20.556935525914152,19.876818517710582
200.0,6.0,20.5715964135091,19.894393192634602
205.0,1.0,20.044756392855206,19.259469976681732
205.0,1.25,20.053888227947095,19.292087415585968
205.0,1.5,20.081358357877793,19.33224035955999
205.0,1.75,20.117438012864056,19.376595486585153
205.0,2.0,20.15758463884309,19.4227301267881
205.0,2.25,20.19817577024967,19.468423084053043
205.0,2.5,20.237220734959745,19.51229006506855
205.0,2.75,20.274562845544846,19.554209351010957
205.0,3.0,20.309875015792354,19.594060010418005
205.0,3.25,20.343034944451862,19.6318339666771
205.0,3.5,20.37399350410954,19.667316229753276
205.0,3.75,20.40294342610478,19.70059169079731
205.0,4.0,20.430352496795265,19.732234867784697
205.0,4.25,20.456065147548117,19.76207888517496
205.0,4.5,20.47978803819149,19.78971899896964
205.0,4.75,20.501578673262127,19.81527023520449
205.0,5.0,20.521571808532478,19.83887588414431
205.0,5.25,20.540163529025214,19.86093474029981
205.0,5.5,20.557542812823385,19.881630973718636
205.0,5.75,20.57372751920374,19.900976901586475
205.0,6.0,20.588712202056488,19.919005534736172
210.0,1.0,20.054931957601394,19.26964774840033
210.0,1.25,20.06512917591135,19.304071158140857
210.0,1.5,20.093753728066964,19.345854677903294
210.0,1.75,20.130988818036002,19.391800452417442
210.0,2.0,20.1722353785579,19.439322448475068
210.0,2.25,20.21365230504602,19.486141357190935
210.0,2.5,20.253265473030304,19.530858037871678
210.0,2.75,20.29100943385745,19.57359953271453
210.0,3.0,20.326811012556817,19.614457152323215
210.0,3.25,20.36008009762025,19.65272415958539
210.0,3.5,20.391131178822267,19.68865241178088
