p,H0,theta_star,theta_err,theta_abs_err,theta_err_ppm,r_s_Mpc,D_M_Mpc,Omega_m0,Omega_b0,Omega_r0,Omega_flux0,q0,z_acc,accepted_theta,H0_distance_to_73,score
0.165,73.0,0.010424829265664655,1.1629265664656052e-05,1.1629265664656052e-05,1116.7811685798845,143.51333566682126,13766.492669524912,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6589000575994977,0.7716284561328315,True,0.0,0.3801275451983871
0.21750000000000003,73.0,0.010401064422582791,-1.2135577417207721e-05,1.2135577417207721e-05,-1165.4032782629472,143.51333566882377,13797.947002157549,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6785882774583687,0.77226257676236,True,0.0,0.4008489766520703
0.1625,73.0,0.010425998589702638,1.279858970263878e-05,1.279858970263878e-05,1229.0736471630987,143.51333566671005,13764.948693591106,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6579624624146732,0.771565367609567,True,0.0,0.4256842235773399
0.22000000000000003,73.0,0.010399968988697864,-1.3231011302135276e-05,1.3231011302135276e-05,-1270.59994066524,143.51333566890494,13799.400346757539,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6795257508339638,0.7722618005206549,True,0.0,0.4453070470409466
0.16,73.0,0.010427171474393438,1.3971474393439237e-05,1.3971474393439237e-05,1341.7080622132714,143.51333566659721,13763.400364042212,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6570248616927223,0.7714991067831474,True,0.0,0.4757682300312497
0.22250000000000003,73.0,0.010398876722618801,-1.4323277381197985e-05,1.4323277381197985e-05,-1375.4923924632185,143.51333566898492,13800.849793403768,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6804632186730988,0.772258375740076,True,0.0,0.49345367637712056
0.1575,73.0,0.010428347938329651,1.5147938329651903e-05,1.5147938329651903e-05,1454.686199213681,143.51333566648282,13761.847659397325,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6560872554336452,0.7714296488944536,True,0.0,0.5304205107888991
0.22500000000000003,73.0,0.010397787608670266,-1.5412391329733613e-05,1.5412391329733613e-05,-1480.082138990283,143.51333566906376,13802.295360350907,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6814006809757736,0.772252323280384,True,0.0,0.5452564698190453
0.155,73.0,0.010429528000239437,1.632800023943816e-05,1.632800023943816e-05,1568.0098566663619,143.5133356663667,13760.2905580264,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6551496436374418,0.7713569690125229,True,0.0,0.5896824219179553
0.22749999999999998,73.0,0.010396701631285622,-1.6498368714376946e-05,1.6498368714376946e-05,-1584.3706751408738,143.5133356691415,13803.73706573275,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6823381377419881,0.7722436638480515,True,0.0,0.6006833409884225
0.15250000000000002,73.0,0.010430711678987764,1.7511678987764887e-05,1.7511678987764887e-05,1681.6808462110484,143.51333566624893,13758.729038149007,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.654212026304112,0.7712810420340103,True,0.0,0.6535957341097055
0.22999999999999998,73.0,0.01039561877500601,-1.7581224993989605e-05,1.7581224993989605e-05,-1688.3594854597632,143.51333566921815,13805.174927563192,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6832755889719646,0.7722324179973339,True,0.0,0.6597025085556583
0.23249999999999998,73.0,0.010394539024479378,-1.8660975520621084e-05,1.8660975520621084e-05,-1792.0500442343455,143.51333566929367,13806.608963737253,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6842130346654809,0.772218606131336,True,0.0,0.7222824928706864
0.15000000000000002,73.0,0.0104318989935776,1.8698993577601422e-05,1.8698993577601422e-05,1795.7009927401205,143.51333566612945,13757.163077833044,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6532744034334339,0.7712018426831007,True,0.0,0.7222026375255366
0.235,73.0,0.010393462364459607,-1.973763554039172e-05,1.973763554039172e-05,-1895.4438155794303,143.51333566936816,13808.03919203203,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.685150474822759,0.7722022485024391,True,0.0,0.7883921126311427
0.14750000000000002,73.0,0.010433089963151216,1.9889963151217133e-05,1.9889963151217133e-05,1910.0721345232143,143.51333566600823,13755.5926549934,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6523367750254074,0.7711193455100674,True,0.0,0.7955457467095328
0.2375,73.0,0.010392388779805565,-2.0811220194434654e-05,2.0811220194434654e-05,-1998.542253527701,143.51333566944157,13809.465630107674,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.686087909443577,0.7721833652131241,True,0.0,0.8580004815971641
0.14500000000000002,73.0,0.010434284606991407,2.1084606991407864e-05,2.1084606991407864e-05,2024.7961233249976,143.5133356658853,13754.017747390692,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6513991410802547,0.7710335248914828,True,0.0,0.8736681055658211
