Galaxy,MAE,Bias,D_spatial,f_gas,R_disk,Vflat,Q,T,L36
NGC6674,79.80307211389861,-79.80307211389861,0.8436096953818946,0.038331142047514116,6.04,1370.35,4.9,3,214.654
NGC6789,18.41560307321457,-18.41560307321457,0.7347323189089722,0.043263619142381506,0.31,319.76,0.0,11,0.1
NGC6946,21.992604546480983,-17.67584788897942,0.8864729334755737,0.02228417277348133,2.44,2232.7,10.9,6,66.173
NGC7331,33.85951663820643,-18.65512455299429,0.8778620875224767,0.011609283511594065,5.02,1806.47,5.4,3,250.631
NGC7793,14.307597746316164,-11.09173969734593,0.8297181688928666,0.03146382496779102,1.21,1068.64,0.0,7,7.05
NGC7814,50.78755531946237,-46.104799865166875,0.8878824192794408,0.0038043874898714973,2.54,2635.3,7.0,2,74.529
PGC51017,6.401247056722132,4.96920239988117,0.7126053480278655,0.25647347768940737,0.53,93.94,1.3,11,0.155
UGC00128,50.471162150971914,-50.201525672866346,0.6775940778310483,0.14122283295583815,5.95,88.89,2.8,8,12.02
UGC00191,18.170497405345866,-18.170497405345866,0.7265682987407187,0.15129266935395758,1.58,207.41,0.0,9,2.004
UGC00634,38.79534552961386,-38.79534552961386,0.7059742952816079,0.24584153134791256,2.45,126.13,0.0,9,2.989
UGC00731,29.446269817039944,-29.446269817039944,0.6276822083855171,0.598089744195943,2.3,82.57,2.3,10,0.323
UGC00891,18.557934058174173,-18.557934058174173,0.6507578177855904,0.23336777028910644,1.43,113.98,0.0,9,0.374
UGC01230,34.781465907213274,-32.70693452400795,0.6899283446616628,0.18331300547244592,4.34,69.32,6.1,9,7.62
UGC01281,14.246958803067717,-12.031209133787037,0.6310082009077059,0.1813619539707424,1.63,135.78,3.5,8,0.353
UGC02023,7.786690917252803,-2.0167884854234908,0.700329823477823,0.08842678352645025,1.55,121.57,0.0,10,1.308
UGC02259,36.46003151614331,-36.46003151614331,0.7098748585374535,0.07078416120628915,1.62,172.52,2.9,8,1.725
UGC02455,24.050587031293635,24.050587031293635,0.8144400606837829,0.05529905001763063,0.99,795.85,0.0,10,3.649
UGC02487,127.98350409691118,-127.98350409691118,0.8614454050320128,0.009658050855770619,7.89,1150.35,3.5,0,489.955
UGC02885,74.76795731073595,-74.76795731073595,0.8007209043595224,0.025737173694988198,11.4,470.79,12.0,5,403.525
UGC02916,25.559032988487182,-10.7696907971866,0.8057448920929905,0.047494600004121416,6.15,520.99,6.9,2,124.153
UGC02953,51.994141959964985,-49.287458748387586,0.9302070225314171,0.007808324218929394,3.55,4215.31,6.0,2,259.518
UGC03205,49.16062951572104,-48.062329978943836,0.8867989841303133,0.022149103254057386,3.19,3915.89,8.6,2,113.642
UGC03546,36.378775327947594,-0.16125041630218107,0.8537531731397888,0.006972729869555908,3.79,922.21,7.4,1,101.336
UGC03580,23.944008593970732,-0.03236724473303401,0.7838823684018121,0.08056460790578594,2.43,302.57,3.2,1,13.266
UGC04278,22.307483492088167,-21.268567564755518,0.6676069726291513,0.18508893566504728,2.21,377.42,4.8,7,1.307
UGC04305,6.673650737817217,5.468431330364784,0.707917697603552,0.19959979989994997,1.16,88.07,2.7,10,0.736
UGC04325,35.670602273722835,-35.670602273722835,0.7040155436153659,0.08174050512430497,1.86,213.22,2.7,9,2.026
UGC04483,4.615566531248186,-3.7536338665854805,0.7062870772507555,0.39568612867236885,0.18,82.57,0.0,10,0.013
UGC04499,17.70420409355529,-16.59812536997734,0.7020938966095236,0.15862517618995992,1.73,127.3,2.4,8,1.552
UGC05005,21.840340217757475,-18.698580092619743,0.6882764960302993,0.16713016211709825,3.2,65.59,7.2,10,4.1
UGC05253,23.636724721100826,-22.785470358950253,0.7902062458454971,0.024788298887319045,8.07,189.16,7.1,2,171.582
UGC05414,9.914211293984064,-8.750617935961186,0.6996793764371864,0.1196879477989847,1.47,127.3,0.0,10,1.123
UGC05716,26.54634495846319,-26.54634495846319,0.7073345790940961,0.33106106456853446,1.14,90.54,1.2,9,0.588
UGC05721,32.21231372011014,-31.99707588033251,0.8261727460521043,0.219682229916002,0.38,913.76,6.6,7,0.531
UGC05750,14.963271848102652,-9.318852745711713,0.663337886489083,0.08056976011579971,3.46,124.98,0.0,8,3.336
UGC05764,25.275472422089404,-25.275472422089404,0.6039131624487422,0.33778961965752036,1.17,33.79,0.0,10,0.085
UGC05829,15.51865408341256,-15.200227791503279,0.6444293495106781,0.32545406270406807,1.99,63.22,0.0,10,0.564
UGC05918,14.965216831757818,-14.965216831757818,0.6130920631829622,0.25320991532105563,1.66,24.94,0.0,10,0.233
UGC05986,37.45533645029462,-36.573423668471726,0.7694771055856052,0.13126695139646755,1.67,1725.16,4.1,9,4.695
UGC05999,29.121199849910635,-29.121199849910635,0.6752004987282895,0.13714235009378223,3.22,51.62,0.0,10,3.384
UGC06399,25.46560774820245,-24.914085591452093,0.6995516460577461,0.0724296686764024,2.05,311.05,3.8,9,2.296
UGC06446,31.834374463489347,-31.834374463489347,0.7015376262832133,0.27074860460550304,1.49,86.46,4.3,7,0.988
UGC06614,28.76337648236101,-23.35735536913398,0.8301577590350013,0.04472696660411569,5.1,540.54,16.0,1,124.35
UGC06628,7.972505686081073,7.972505686081073,0.6926499056619663,0.09642339294345094,2.82,103.0,6.4,9,3.739
UGC06667,40.05298110792145,-40.05298110792145,0.5833304203447282,0.1334789733741721,5.15,614.94,3.1,6,1.397
UGC06786,56.50001088202969,-56.4635560302285,0.8396311842944411,0.01790060014732762,3.6,1078.52,7.8,0,73.407
UGC06787,52.0810023869473,-42.921666572227345,0.8058851612105332,0.013434346132165821,5.37,429.37,4.8,2,98.256
UGC06818,15.157016238620905,-9.751336187162444,0.7280620446213584,0.15307299038833844,1.39,286.31,4.0,9,1.588
UGC06917,30.838324313996452,-30.838324313996452,0.727885218411591,0.07301348499440578,2.76,261.11,3.5,9,6.832
UGC06923,14.451321569848355,-12.75026139823215,0.75377112745652,0.06930130613417392,1.44,347.4,2.5,10,2.89
UGC06930,29.66735691567389,-29.66735691567389,0.703403316582728,0.08792385450812935,3.94,189.16,5.1,7,8.932
UGC06973,32.79564379089729,10.984263626503848,0.9938393703980435,0.00858170352348995,1.07,12730.05,6.2,2,53.87
UGC06983,39.64016725117323,-39.64016725117323,0.6997181253040939,0.12965224530992958,3.21,121.57,5.8,6,5.298
UGC07089,11.703089330857047,-9.785566046992548,0.7143461958470536,0.08263313206705146,2.26,520.99,0.0,8,3.585
UGC07125,7.789401793908498,-6.717766060863395,0.670274403199609,0.31225360191960366,3.38,103.0,2.1,9,2.712
UGC07151,15.585617217440761,-14.713749880594863,0.7564977924332339,0.06693857808629265,1.25,965.67,2.8,6,2.284
UGC07232,7.615666580325007,-7.427136371248164,0.753433720012896,0.09770353572455207,0.29,227.42,0.0,10,0.113
UGC07261,20.70437325502788,-20.70437325502788,0.7528083616090524,0.1739735219167961,1.2,566.02,3.4,8,1.753
UGC07323,11.278270401878384,-9.768513672604147,0.7198450507377786,0.04465233156911379,2.26,283.68,0.0,8,4.109
UGC07399,48.31595001333169,-48.31595001333169,0.6908268953203481,0.14634056285399913,1.64,135.78,3.3,8,1.156
UGC07524,22.208361548757928,-21.8059994314036,0.6517188395444317,0.16266042993055857,3.46,106.86,3.6,9,2.436
UGC07559,4.50840764364975,-2.4389267377063995,0.6855721975225247,0.29199631058627906,0.58,55.06,0.0,10,0.109
UGC07577,2.2735930343322504,1.7480750064925685,0.5899574529979135,0.20640519187358916,0.9,54.55,0.0,10,0.045
UGC07603,21.096242274841565,-20.705464210808632,0.7571222397708968,0.15434925375819786,0.53,520.99,2.8,7,0.376
UGC07608,24.705166156971174,-24.443676134375952,0.6364208470715701,0.3502498092589403,1.5,46.65,0.0,10,0.264
UGC07690,13.452524077745462,-13.452524077745462,0.7960036062083107,0.10786699107866993,0.57,395.21,3.2,10,0.858
UGC07866,4.800427309221386,-4.324688411299445,0.6805672125079175,0.2019975802507272,0.61,97.46,0.0,10,0.124
UGC08286,31.608886343824103,-31.415028620619864,0.7449791471588763,0.1197751113081194,1.05,1488.78,2.3,6,1.255
