H0,theta_star,r_s_Mpc,D_M_Mpc,model,flux_power
65.4054054054054,0.01028796897805888,143.51332656699535,13949.626682687882,lcdm,
65.45045045045045,0.010289325405856585,143.51332656696533,13947.787722339788,lcdm,
65.49549549549549,0.010290681454451132,143.51332656693532,13945.949760679847,lcdm,
65.54054054054055,0.010292037124125875,143.51332656690525,13944.112796726251,lcdm,
65.58558558558559,0.01029339241516381,143.51332656687518,13942.276829498614,lcdm,
65.63063063063063,0.010294747327847562,143.5133265668451,13940.441858018,lcdm,
65.67567567567568,0.010296101862459403,143.51332656681504,13938.607881306876,lcdm,
65.72072072072072,0.010297456019281224,143.51332656678485,13936.774898389152,lcdm,
65.76576576576576,0.010298809798594577,143.51332656675476,13934.942908290164,lcdm,
65.8108108108108,0.01030016320068064,143.51332656672457,13933.111910036643,lcdm,
65.85585585585585,0.01030151622582023,143.5133265666944,13931.281902656765,lcdm,
65.9009009009009,0.010302868874293823,143.51332656666426,13929.452885180091,lcdm,
65.94594594594595,0.010304221146381512,143.513326566634,13927.624856637605,lcdm,
65.990990990991,0.01030557304236304,143.51332656660372,13925.797816061717,lcdm,
66.03603603603604,0.01030692456251781,143.51332656657348,13923.971762486206,lcdm,
66.08108108108108,0.010308275707124843,143.51332656654318,13922.146694946281,lcdm,
66.12612612612612,0.010309626476462828,143.5133265665129,13920.322612478532,lcdm,
66.17117117117117,0.010310976870810082,143.51332656648253,13918.499514120957,lcdm,
66.21621621621621,0.01031232689044458,143.5133265664522,13916.677398912938,lcdm,
66.26126126126127,0.01031367653564393,143.51332656642185,13914.85626589526,lcdm,
66.30630630630631,0.010315025806685403,143.5133265663915,13913.036114110084,lcdm,
66.35135135135135,0.010316374703845898,143.51332656636103,13911.21694260096,lcdm,
66.3963963963964,0.010317723227401987,143.5133265663306,13909.398750412827,lcdm,
66.44144144144144,0.010319071377629878,143.51332656630015,13907.58153659199,lcdm,
66.48648648648648,0.01032041915480543,143.5133265662697,13905.76530018614,lcdm,
66.53153153153153,0.010321766559204146,143.5133265662392,13903.950040244341,lcdm,
66.57657657657657,0.010323113591101196,143.51332656620866,13902.13575581703,lcdm,
66.62162162162161,0.010324460250771396,143.51332656617816,13900.322445956002,lcdm,
66.66666666666667,0.010325806538489206,143.5133265661476,13898.510109714432,lcdm,
66.71171171171171,0.01032715245452875,143.51332656611706,13896.69874614685,lcdm,
66.75675675675676,0.0103284979991638,143.51332656608645,13894.88835430915,lcdm,
66.8018018018018,0.010329843172667788,143.5133265660558,13893.07893325858,lcdm,
66.84684684684684,0.0103311879753138,143.51332656602517,13891.270482053742,lcdm,
66.89189189189189,0.010332532407374575,143.51332656599453,13889.462999754604,lcdm,
66.93693693693693,0.010333876469122517,143.5133265659638,13887.656485422453,lcdm,
66.98198198198199,0.010335220160829677,143.51332656593314,13885.850938119966,lcdm,
67.02702702702703,0.01033656348276777,143.51332656590242,13884.046356911123,lcdm,
