z,t_gyr_since_zmax,sfrd_msun_yr_mpc3,rho_star_msun_mpc3,Omega_Lambda,q,minus_q,S_CBH_density_kB_mpc3,rho_bh_msun_mpc3,n_bh_mpc3,mean_bh_mass_msun,entropy_weighted_bh_mass_msun,dS_CBH_dt_kB_mpc3_Gyr,Omega_flux_4term_fit
3.4091363787929314,1.215578763006482,0.07197657363336557,33243708.114010558,0.024742230029549832,0.46288665495567527,-0.46288665495567527,4.1668861647443765e+88,7036.325893115848,0.00031458186509946974,22367233.059957176,88884090.58190624,6.395050868376024e+88,0.035811220510595106
3.4064688229409805,1.2172481021695147,0.07208162809836417,33331484.09095024,0.024786077615766976,0.4628208835763496,-0.4628208835763496,4.177575786823035e+88,7052.706601911314,0.00031524081561391354,22372441.17065415,88905140.16772568,6.41197365508699e+88,0.03588124586358327
3.4038012670890296,1.2189199320482547,0.0721868332987443,33419519.337199423,0.02483002755023738,0.46275495867464395,-0.46275495867464395,4.188309694833711e+88,7069.147332007093,0.0003159018353654867,22377670.974365667,88926277.45787767,6.428949865251726e+88,0.03595143671579943
3.4011337112370796,1.2205942578041835,0.07229218921722924,33507814.691473793,0.024874080127037436,0.46268887980944384,-0.46268887980944384,4.199088096077059e+88,7085.648312353665,0.0003165649299185679,22382922.562446676,88947502.82192864,6.445979730147564e+88,0.036021793496358374
3.3984661553851288,1.2222710846124003,0.07239769583428882,33596370.99519958,0.02491823564123837,0.4626226465381425,-0.4626226465381425,4.209911198994709e+88,7102.209772850168,0.000317230104846227,22388196.026644025,88968816.63103223,6.463063482349969e+88,0.036092316635463285
3.395798599533178,1.2239504176616616,0.07250335312812071,33685189.0925204,0.02496249438890995,0.4625562584166351,-0.4625562584166351,4.220779213176588e+88,7118.831944348824,0.0003178973657301918,22393491.459098067,88990219.25793564,6.480201355756248e+88,0.03616300656441372
3.393131043681227,1.2256322621544267,0.07260916107463196,33774269.83030432,0.025006856667124464,0.4624897149993133,-0.4624897149993133,4.231692349368455e+88,7135.515058659541,0.00031856671816081635,22398808.952344626,89011711.07698771,6.497393585568902e+88,0.03623386371559828
3.390463487829277,1.227316623306901,0.07271511964742015,33863614.0581508,0.025051322773960483,0.4624230158390593,-0.4624230158390593,4.242650819479272e+88,7152.25934855436,0.00031923816773704925,22404148.599316444,89033292.46414469,6.514640408299787e+88,0.036304888522495055
3.387795931977326,1.2290035063490818,0.07282122881775469,33953222.62839779,0.02509589300850686,0.46235616048723976,-0.46235616048723976,4.253654836588836e+88,7169.065047772085,0.0003199117200663998,22409510.493345156,89054963.7969782,6.531942061806116e+88,0.03637608141968469
3.385128376125375,1.2306929165247984,0.07292748855455772,34043096.39612854,0.0251405676708665,0.4622891484937003,-0.4622891484937003,4.26470461495533e+88,7185.932391022831,0.0003205873807649056,22414894.72816289,89076725.4546821,6.549298785277438e+88,0.036447442842844034
3.3824608202734243,1.2323848590917592,0.07303389882438514,34133236.21917865,0.025185347062160354,0.46222197940675946,-0.46222197940675946,4.275800370023005e+88,7202.861613992661,0.00032126515545709766,22420301.39790415,89098577.8180796,6.566710819250107e+88,0.03651897322875078
3.3797932644214743,1.2340793393215945,0.07314045959140737,34223642.95814298,0.025230231484531317,0.46215465277320306,-0.46215465277320306,4.286942318429874e+88,7219.852953348213,0.0003219450497759676,22425730.5971075,89120521.26963045,6.584178405628633e+88,0.03659067301529057
3.3771257085695234,1.2357763624999036,0.07324717081739018,34314317.47638277,0.02527522124114825,0.46208716813827766,-0.46208716813827766,4.298130678015548e+88,7236.906646741427,0.0003226270693629324,22431182.420717537,89142556.19343883,6.601701787664334e+88,0.03666254264144766
3.3744581527175725,1.2374759339262962,0.07335403246167518,34405260.64003235,0.02532031663620983,0.4620195250456853,-0.4620195250456853,4.309365667828937e+88,7254.022932814113,0.0003233112198677994,22436656.964086346,89164682.97525926,6.619281209973244e+88,0.03673458254731054
3.3717905968656225,1.239178058914438,0.07346104448116036,34496473.31800622,0.025365517974948616,0.4619517230375771,-0.4619517230375771,4.320647508136222e+88,7271.20205120276,0.0003239975069487308,22442154.322975554,89186902.00250489,6.636916918579902e+88,0.03680679317408784
3.3691230410136717,1.2408827427920988,0.07356820683028054,34587956.38200604,0.025410825563635036,0.4618837616545475,-0.4618837616545475,4.3319764204288174e+88,7288.444242543293,0.00032468593627220876,22447674.593558125,89209213.66425504,6.654609160883875e+88,0.03687917496409419
3.3664554851617208,1.2425899909011928,0.0736755194609875,34679710.70652741,0.025456239709581382,0.46181564043562795,-0.46181564043562795,4.343352627431303e+88,7305.749748475775,0.00032537651351299775,22453217.87242008,89231618.35126166,6.67235818566863e+88,0.03695172836075229
3.36378792930977,1.2442998085978278,0.07378298232273027,34771737.168866895,0.025501760721145867,0.4617473589182812,-0.4617473589182812,4.3547763531094946e+88,7323.118811649229,0.0003260692443541091,22458784.256562293,89254116.45595719,6.690164243148205e+88,0.03702445380860988
