Galaxy,N_points,T,A_T,D_spatial,D_total_v3p_T,f_gas,R_disk,M_bar,v3o_MAE,v3o_bias,v3p_T_MAE,v3p_T_bias,MAE_delta,MAE_improvement_pct
NGC0024,29,5,0.0,0.7791679392539996,0.7791679392539996,0.0441936917275197,1.34,2034408000.0,33.584387118734355,-33.009923195069824,33.584387118734355,-33.009923195069824,0.0,0.0
NGC0055,21,9,-0.4,0.6218244693420709,0.7973845340811894,0.0825269760461829,6.11,2522145000.0,19.759578582553935,-19.44711163989368,25.559888133811736,-25.559888133811736,5.800309551257801,-29.354419311244786
NGC0100,21,6,-0.1,0.7482048363876183,0.7961969528435507,0.1407317604896127,1.66,1880670000.0,21.244914373543857,-18.278372488593966,24.658042600524357,-22.780450637930677,3.4131282269805006,-16.06562477479714
NGC0247,26,7,-0.2,0.6964703475609354,0.7886832745607979,0.0595702959660029,3.74,3898218000.0,27.527319449154213,-27.527319449154213,35.28904372803599,-35.28904372803599,7.761724278881779,-28.1964406059169
NGC0289,28,4,0.1,0.7631292370721942,0.7171303330501486,0.0920573583393407,6.74,39685877000.0,38.85726843231949,-38.85726843231949,27.70890071835616,-27.601107541954132,-11.148367713963335,28.69055948536694
NGC0300,25,7,-0.2,0.7318460723960198,0.8287427582137687,0.0785171505555387,1.75,1585488000.0,30.435815864759363,-30.358458486477765,37.9811610661034,-37.9811610661034,7.545345201344034,-24.791006867933326
NGC0801,13,5,0.0,0.8184701507457484,0.8184701507457484,0.0193619803455381,8.72,159370733000.0,25.798915087782653,-19.306229808929167,25.798915087782653,-19.306229808929167,0.0,0.0
NGC0891,18,3,0.2,0.93268845837652,0.8236384309446801,0.0085065465372797,2.55,69763446000.0,28.17614510326576,-5.548950636299359,19.66349103537797,18.586496304832995,-8.51265406788779,30.212273668696895
NGC1003,36,6,-0.1,0.8016682629481799,0.8530896849483209,0.1865535634201963,1.61,4192040000.0,31.438403607576276,-31.077379157377816,38.8806169169435,-38.77539039523165,7.442213309367226,-23.672363909641206
NGC1090,24,4,0.1,0.8419446387949958,0.7911950032805816,0.0314094898987887,3.53,37190639000.0,30.358134346149743,-24.39505930169456,20.430924575607968,-12.130793025840171,-9.927209770541776,32.70032887182615
NGC1705,14,11,-0.6,0.8111636193341358,1.1779001153996196,0.0648696256320463,0.39,284987000.0,33.852205685772034,-33.852205685772034,43.65798922259847,-43.65798922259847,9.805783536826432,-28.966453848966683
NGC2366,26,10,-0.5,0.7277894547509166,0.9931292169403491,0.4217131991511926,0.65,204051000.0,10.81468842313054,-8.588382400591161,16.364241867359816,-16.30842510479581,5.549553444229275,-51.314963752074874
NGC2403,73,6,-0.1,0.838101137074196,0.891859473583366,0.0781251520620672,1.39,5445967000.0,30.211583679595996,-29.935659353199686,35.504521235094956,-35.45940832047293,5.292937555498959,-17.51956339539278
NGC2683,11,3,0.2,0.9154729905843756,0.8084357973611342,0.0046292938211535,2.18,40394498000.0,37.105454990813705,-37.105454990813705,8.557970158080282,-2.921667432406278,-28.547484832733424,76.93608618948616
NGC2841,50,3,0.2,0.9033708757191778,0.7977486629711215,0.0136332546233073,3.64,95360575000.0,101.94036432651785,-101.94036432651785,67.31485415606647,-67.31485415606647,-34.62551017045138,33.96643753356119
NGC2903,34,4,0.1,0.9073344043010354,0.8526432901989625,0.0082240966011028,2.33,41270916000.0,37.20062011450055,-21.571312842715162,29.75560716352434,-11.06906533454518,-7.4450129509762135,20.013142060699675
NGC2915,30,11,-0.6,0.7869498114143587,1.1427389636132732,0.1741053022181908,0.55,388064000.0,38.962826858664016,-36.34910163771782,49.852283299657,-48.314679199885276,10.889456440992987,-27.94832233424444
NGC2955,24,3,0.2,0.7255543842068557,0.6407224933536417,0.0235399141105681,18.76,163561217000.0,22.27592091609597,-18.47153237280722,15.84449963259012,-6.804070446254446,-6.43142128350585,28.871629180810576
NGC2976,27,5,0.0,0.8039111543973074,0.8039111543973075,0.0133904948325193,1.01,1708376000.0,7.833696995690964,-2.3273841102647372,7.833696995690964,-2.3273841102647372,0.0,0.0
NGC2998,13,5,0.0,0.8168280816445026,0.8168280816445026,0.0396968776230994,6.2,78569983000.0,45.072806643931365,-45.072806643931365,45.072806643931365,-45.072806643931365,0.0,0.0
NGC3109,25,9,-0.4,0.6206090302678428,0.7958259393849514,0.3954163835927226,1.56,160441000.0,23.18128058844864,-22.726703006489142,27.22730834420322,-27.22730834420322,4.046027755754579,-17.453857824277133
NGC3198,43,5,0.0,0.8182165382619325,0.8182165382619325,0.0702245126408805,3.14,20585077000.0,30.696112241190814,-25.85042694546419,30.696112241190814,-25.85042694546419,0.0,0.0
NGC3521,41,4,0.1,0.9059674967138496,0.8513587752758962,0.012857244654598,2.4,42970482000.0,17.71860024828555,-17.586238873954187,11.117515831939594,-10.577053659495197,-6.601084416345957,37.255112276629625
NGC3726,12,5,0.0,0.8447710926903036,0.8447710926903036,0.0239288225449678,3.4,35977909000.0,22.033947195602554,-18.543968478521506,22.033947195602554,-18.543968478521506,0.0,0.0
NGC3741,21,10,-0.5,0.7685967148903824,1.0488141159770614,0.6335654085745694,0.2,38206000.0,15.752339414633484,-15.622445141238265,23.200378173870302,-23.200378173870302,7.448038759236818,-47.2821119656538
NGC3769,12,3,0.2,0.7637043014128105,0.6744119184408528,0.0729893238186904,3.38,10074857000.0,26.174435219580385,-23.766165325714923,12.054762289180251,-6.705345795454988,-14.119672930400133,53.944518045751714
NGC3877,13,5,0.0,0.8866319207952497,0.8866319207952496,0.0054090336420617,2.53,36464739000.0,19.49182384650568,-9.191384601428464,19.49182384650568,-9.191384601428464,0.0,0.0
NGC3893,10,5,0.0,0.8815547075497618,0.881554707549762,0.0256799954531178,2.38,30033767000.0,37.0563652176336,-35.35975433968456,37.0563652176336,-35.35975433968456,0.0,0.0
