M_BH,phi_total,phi_sink,delta_flux,sigma_env_pred,sigma_bulge_sim,M_star,M_gas,R_disk_90,arm_contrast,v_flat,sink_saturation,morphology_index
2070627.283873902,1.607142857142857,0.02070627283873902,0.9871160969003402,77.2205903527158,146.89903138423912,1540718982581.384,32122093439287.14,18.5,0.9098452947537174,602.5182166624891,1.0,3.197588075833751
2070627.283873902,2.1857142857142855,0.02070627283873902,0.9905265418384855,77.2205903527158,147.39773961480947,1564436060770.0354,32495969025136.78,18.75,0.9096520688667881,607.5353273925666,1.0,3.2475434861443224
2070627.283873902,2.7642857142857142,0.02070627283873902,0.9925093586629885,77.2205903527158,147.6903299017186,1578284131116.9507,32713322858534.54,18.75,0.9096347294691579,610.4506687749893,1.0,3.2517773565354897
2070627.283873902,3.3428571428571425,0.02070627283873902,0.9938058158174713,77.2205903527158,147.88264469668988,1587445212943.4236,32858007865562.332,18.75,0.909414150615184,612.3706703996527,1.0,3.2538124034045595
2070627.283873902,3.9214285714285713,0.02070627283873902,0.9947197118444018,77.2205903527158,148.01404625718726,1593859045087.723,32961100711580.953,18.75,0.9094905468649596,613.7127334515765,1.0,3.256054511279528
2070627.283873902,4.5,0.02070627283873902,0.9953986060358359,77.2205903527158,148.11560277252954,1598692690265.0593,33038692009282.75,18.75,0.9094674323580039,614.7220030668003,1.0,3.25745099605554
4287497.348723012,0.45,0.04287497348723012,0.9047222811394886,91.28516993058089,142.8795649562222,1054081873534.6125,23997030160671.516,16.5,0.9135191771073128,490.0951768135063,1.0,2.425170036034611
4287497.348723012,1.0285714285714285,0.04287497348723012,0.9583159979985263,91.28516993058089,150.192524972289,1356490938644.9783,29090009485069.69,17.75,0.9109823498689404,562.1644321641594,1.0,2.7019685122916
4287497.348723012,1.607142857142857,0.04287497348723012,0.9733222387190569,91.28516993058089,152.29533625583494,1452506127042.5908,30648906993673.367,18.25,0.9104384891778498,583.452136635493,1.0,2.8050499755337035
4287497.348723012,2.1857142857142855,0.04287497348723012,0.98038399905813,91.28516993058089,153.29510010137125,1499332216584.8816,31395860193208.098,18.5,0.9101316515753721,593.6010109847016,1.0,2.8560779504467693
4287497.348723012,2.7642857142857142,0.04287497348723012,0.9844896736738702,91.28516993058089,153.87065921893532,1527365692258.0493,31843250318888.633,18.5,0.9101165462167706,599.6008225012602,1.0,2.863977634527234
4287497.348723012,3.3428571428571425,0.04287497348723012,0.9871741532303158,91.28516993058089,154.25042241829965,1545829610432.5837,32134746508859.324,18.5,0.9096962460298483,603.5271427985828,1.0,2.8678194326257187
4287497.348723012,3.9214285714285713,0.04287497348723012,0.9890664912783019,91.28516993058089,154.51740542113458,1558847118800.5757,32342211117234.633,18.5,0.9097757594007166,606.2827273363205,1.0,2.871680023976192
4287497.348723012,4.5,0.04287497348723012,0.990472228113949,91.28516993058089,154.7171259499219,1568722350257.8662,32498959214744.89,18.5,0.9097669098005665,608.36310761796,1.0,2.8743735416539233
8877808.989802904,0.45,0.08877808989802904,0.8027153557821577,107.91140304927708,140.6634161943095,631348402551.4617,16166579977803.666,14.25,0.9178461808709305,370.8372423982306,1.0,1.7471060658691382
8877808.989802904,1.0285714285714285,0.08877808989802904,0.913687968154694,107.91140304927708,154.24813405879328,1106055374719.3098,24813488063625.047,16.75,0.9129940915978009,502.98799327491713,1.0,2.2219968970792503
8877808.989802904,1.607142857142857,0.08877808989802904,0.9447602996190041,107.91140304927708,158.29153113960652,1280096789766.8525,27745765251424.98,17.5,0.9117018327557851,544.6143374945523,1.0,2.369580334729721
8877808.989802904,2.1857142857142855,0.08877808989802904,0.9593825732492678,107.91140304927708,160.23014531406366,1369379130127.502,29212169902035.78,17.75,0.91100681941964,564.9519156078568,1.0,2.4260105223364423
8877808.989802904,2.7642857142857142,0.08877808989802904,0.967883895127328,107.91140304927708,161.36850366745975,1423413918510.9731,30086861896479.523,18.0,0.9106012605776829,576.9647878927262,1.0,2.473401231402455
8877808.989802904,3.3428571428571425,0.08877808989802904,0.9734424517399058,107.91140304927708,162.11064039513883,1459569312026.7346,30668958815305.25,18.25,0.9104145397620712,584.8858745034416,1.0,2.5166910316625604
8877808.989802904,3.9214285714285713,0.08877808989802904,0.9773607785323788,107.91140304927708,162.6405372053313,1485559947054.0483,31084136147945.516,18.25,0.9103066560541075,590.5249483667317,1.0,2.5230639215105235
8877808.989802904,4.5,0.08877808989802904,0.9802715355782158,107.91140304927708,163.03279780146283,1505216381734.462,31398547251614.78,18.25,0.9100871382977711,594.7543961627102,1.0,2.5274340098621537
18382633.515306897,0.45,0.18382633515306898,0.5914970329931801,127.56585672041835,134.77012551494562,178555721111.46344,6206097727554.302,9.25,0.9272299596979334,187.49566895995667,1.0,0.84991227806117
18382633.515306897,1.0285714285714285,0.18382633515306898,0.8212799519345162,127.56585672041835,156.6809777596743,702807388371.82,17445000966165.287,14.5,0.9172248294135051,392.9143631200089,1.0,1.61863192512203
18382633.515306897,1.607142857142857,0.18382633515306898,0.8856191692380905,127.56585672041835,164.0626151892906,972751483291.9972,22380287247429.805,16.0,0.9143458998130137,468.88653206745306,1.0,1.8694318558600929
18382633.515306897,2.1857142857142855,0.18382633515306898,0.915896447969184,127.56585672041835,167.70854931897995,1125625263430.7546,25027350144593.36,16.75,0.9129725233850021,507.657720169964,1.0,1.997378831122946
18382633.515306897,2.7642857142857142,0.18382633515306898,0.9334995169988898,127.56585672041835,169.87236747938312,1222880208183.002,26668239791051.09,17.25,0.9121074123676717,531.0796833661585,1.0,2.0807577517807108
18382633.515306897,3.3428571428571425,0.18382633515306898,0.9450092159798511,127.56585672041835,171.30369472162178,1289958515089.7397,27784071805362.41,17.5,0.9117352788332466,546.7393078871521,1.0,2.127022183509868
18382633.515306897,3.9214285714285713,0.18382633515306898,0.9531226103434797,127.56585672041835,172.32483416762443,1339149663873.044,28593720417763.062,17.75,0.9114033457486425,557.9835803314095,1.0,2.16876348618317
18382633.515306897,4.5,0.18382633515306898,0.959149703299318,127.56585672041835,173.0820209542122,1376420570796.136,29199824008414.375,17.75,0.9110929217774967,566.3815241617715,1.0,2.176970542940002
38063582.50624928,0.45,0.38063582506249277,0.1541426109722383,150.80007618271182,136.8826478593458,1241815079.4114308,921921582889.7573,1.75,0.9348812743979288,14.015337018712724,1.0,0.0689868966062949
