p0,p_high,zt,w,theta_star,theta_err_ppm,theta_abs_err_ppm,r_s_Mpc,D_M_Mpc,sn_shape_max_abs,sn_shape_end,sn_offset,strict_cmb_pass,score
0.17500000000000002,0.21,0.8999999999999999,0.9499999999999998,0.010421473283849018,794.499658992294,794.499658992294,143.2399900176926,13744.696754122371,0.1280699601753028,0.1280699601753028,-0.17001913252284595,True,6.150783835440222
0.19,0.21,1.7999999999999998,0.35,0.010421264593832576,774.4587477986784,774.4587477986784,143.2399900176926,13744.97199720499,0.12807079260821297,0.12807079260821297,-0.16997329977380105,True,5.723712819314325
0.19,0.21,2.1999999999999997,0.6499999999999999,0.01042142484940342,789.8484042772873,789.8484042772873,143.2399900176926,13744.760633752732,0.1280723929308749,0.1280723929308749,-0.16996842509848875,True,5.761442542590115
0.18000000000000002,0.22,1.6999999999999997,0.9499999999999998,0.010421118675209383,760.4458964952227,760.4458964952227,143.23999001802093,13745.164457129928,0.12807446404520562,0.12807446404520562,-0.17001118180317576,True,5.922367187190012
0.18000000000000002,0.22,1.5999999999999999,0.7999999999999998,0.01042104162798101,753.0469001854083,753.0469001854083,143.23999001802093,13745.266081023467,0.12807447784652837,0.12807447784652837,-0.1700196116571,True,5.904870782285953
0.18000000000000002,0.22,1.7999999999999998,1.0999999999999996,0.010421186733712857,766.981687940075,766.981687940075,143.23999001802093,13745.07469045106,0.1280762035248202,0.1280762035248202,-0.17000422322342246,True,5.938089312786201
0.185,0.22,1.6999999999999997,0.49999999999999994,0.010420869296984485,736.4976169175368,736.4976169175368,143.23999001802093,13745.493387914448,0.1280774158378044,0.1280774158378044,-0.17000813372720458,True,5.740562807956719
0.18000000000000002,0.22,1.5,0.6499999999999999,0.010420955504768698,744.7763193541828,744.7763193541828,143.23999001802093,13745.37967775348,0.1280783059001962,0.1280783059001962,-0.17002977594167845,True,5.885787118135356
0.18000000000000002,0.22,1.9,1.2499999999999998,0.010421246558753927,772.7268038574064,772.7268038574064,143.23999001802093,13744.99578437651,0.12807869298841723,0.12807869298841723,-0.16999844444978152,True,5.952088016804015
0.18000000000000002,0.22,2.0,1.4,0.010421299129933335,777.775317225821,777.775317225821,143.23999001802093,13744.926446510824,0.1280814407344515,0.1280814407344515,-0.16999359901575062,True,5.964514363498616
