p,H0,omega_m_h2,omega_b_h2,omega_c_h2,theta_star,theta_err,theta_abs_err,theta_err_ppm,r_s_Mpc,D_M_Mpc,Omega_m0,Omega_b0,Omega_c0,Omega_r0,Omega_flux0,q0,z_acc,accepted_theta,accepted_omega_window,H0_distance_to_73,score
0.194,73.0,0.14300000000000002,0.02237,0.12063000000000001,0.010410693467702818,-2.5065322971813686e-06,2.5065322971813686e-06,-240.7072078881966,143.51334541665733,13785.185959213955,0.2683430287108276,0.041977857008819675,0.22636517170200793,7.843873146931883e-05,0.7315785325577031,-0.6697757571009202,0.7721380042311422,True,True,0.0,0.331564606883076
0.27399999999999997,73.0,0.14600000000000002,0.02237,0.12363000000000002,0.010410659201634179,-2.5407983658201627e-06,2.5407983658201627e-06,-243.9978456017519,142.77518357052574,13714.326903344801,0.2739726027397261,0.041977857008819675,0.23199474573090642,7.843873146931883e-05,0.7259489585288046,-0.6905327529379548,0.756764108754577,True,True,0.0,0.24735341724823245
0.33199999999999996,73.0,0.14800000000000002,0.02237,0.12563000000000002,0.010410599180989764,-2.6008190102348033e-06,2.6008190102348033e-06,-249.7617456915073,142.2904432408581,13667.843777972648,0.2777256520923251,0.041977857008819675,0.2357477950835054,7.843873146931883e-05,0.7221959091762057,-0.7058379224312841,0.7458365240016028,True,True,0.0,0.1978812301312428
0.21999999999999997,73.0,0.14400000000000002,0.02237,0.12163000000000002,0.01041059699550527,-2.603004494729569e-06,2.603004494729569e-06,-249.97162204985682,143.26579670016912,13761.53517055972,0.2702195533871271,0.041977857008819675,0.22824169637830743,7.843873146931883e-05,0.7297020078814036,-0.6764973828644596,0.7671479711016075,True,True,0.0,0.3029627080271572
0.208,73.0,0.14400000000000002,0.02237,0.12163000000000002,0.010415843679466526,2.6436794665265356e-06,2.6436794665265356e-06,253.87771929152765,143.26579669977275,13754.603189965546,0.2702195533871271,0.041977857008819675,0.22824169637830743,7.843873146931883e-05,0.7297020078814036,-0.672009016190799,0.7670988067601829,True,True,0.0,0.3031940953522213
0.348,73.0,0.14900000000000002,0.02237,0.12663000000000002,0.010415849971997843,2.6499719978437253e-06,2.6499719978437253e-06,254.4820034037304,142.05023644593302,13637.89194619963,0.2796021767686246,0.041977857008819675,0.23762431975980491,7.843873146931883e-05,0.7203193844999062,-0.7086074484384799,0.7406574752104435,True,True,0.0,0.1762066971584516
0.158,73.0,0.14200000000000002,0.02237,0.11963000000000001,0.010415874868052441,2.6748680524418117e-06,2.6748680524418117e-06,256.87282030901275,143.762410660704,13802.240568543302,0.2664665040345281,0.041977857008819675,0.22448864702570845,7.843873146931883e-05,0.7334550572340026,-0.6592434448263731,0.7767398421576115,True,True,0.0,0.3629264429398511
0.31799999999999995,73.0,0.14800000000000002,0.02237,0.12563000000000002,0.010415891748677356,2.691748677357067e-06,2.691748677357067e-06,258.4938997961306,142.29044324062272,13660.89881441896,0.2777256520923251,0.041977857008819675,0.2357477950835054,7.843873146931883e-05,0.7221959091762057,-0.7006567834767488,0.7462164507666939,True,True,0.0,0.19937093146979146
0.23399999999999999,73.0,0.14500000000000002,0.02237,0.12263000000000002,0.010415926553798692,2.726553798692438e-06,2.726553798692438e-06,261.83630379637754,143.01974812712936,13730.871410087853,0.2720960780634266,0.041977857008819675,0.23011822105460694,7.843873146931883e-05,0.7278254832051041,-0.6786918093798491,0.7620790516304954,True,True,0.0,0.275962462312976
0.134,73.0,0.14100000000000001,0.02237,0.11863000000000001,0.010415971442064931,2.771442064931906e-06,2.771442064931906e-06,266.14701195904297,144.01300907900406,13826.17165187369,0.26458997935822864,0.041977857008819675,0.22261212234940894,7.843873146931883e-05,0.735331581910302,-0.6531645993957937,0.7813534131528305,True,True,0.0,0.3952094482831603
0.122,73.0,0.14,0.02237,0.11763000000000001,0.01041040197815166,-2.7980218483391467e-06,2.7980218483391467e-06,-268.69952064102745,144.26515758465345,13857.789342565555,0.26271345468192914,0.041977857008819675,0.22073559767310946,7.843873146931883e-05,0.7372081065866015,-0.6515746577656625,0.7863289331101659,True,True,0.0,0.4292584218948836
0.182,73.0,0.14300000000000002,0.02237,0.12063000000000001,0.01041613346959501,2.933469595010549e-06,2.933469595010549e-06,281.7068331550867,143.51334541619266,13777.986412627315,0.2683430287108276,0.041977857008819675,0.22636517170200793,7.843873146931883e-05,0.7315785325577031,-0.6652755580144323,0.7719767018300869,True,True,0.0,0.33490656115664874
0.16999999999999998,73.0,0.14200000000000002,0.02237,0.11963000000000001,0.010410244022356352,-2.955977643647259e-06,2.955977643647259e-06,-283.868325168753,143.76241066124248,13809.70612720584,0.2664665040345281,0.041977857008819675,0.22448864702570845,7.843873146931883e-05,0.7334550572340026,-0.6637554562952666,0.7770134772618688,True,True,0.0,0.366115231736683
0.146,73.0,0.14100000000000001,0.02237,0.11863000000000001,0.010410139237355424,-3.060762644575138e-06,3.060762644575138e-06,-293.9310341273708,144.01300907962826,13833.917663930602,0.26458997935822864,0.041977857008819675,0.22261212234940894,7.843873146931883e-05,0.735331581910302,-0.6576884244297023,0.7817507836006045,True,True,0.0,0.3988924728744092
0.288,73.0,0.14700000000000002,0.02237,0.12463000000000002,0.010416325835799713,3.1258357997138164e-06,3.1258357997138164e-06,300.1801367220275,142.53208715182666,13683.528088374529,0.2758491274160256,0.041977857008819675,0.23387127040720593,7.843873146931883e-05,0.7240724338525052,-0.6926475732623718,0.7516574062095416,True,True,0.0,0.2275890681869741
0.30399999999999994,73.0,0.14700000000000002,0.02237,0.12463000000000002,0.010410051400417224,-3.1485995827754826e-06,3.1485995827754826e-06,-302.3661874136176,142.53208715214737,13691.775541707204,0.2758491274160256,0.041977857008819675,0.23387127040720593,7.843873146931883e-05,0.7240724338525052,-0.6985846865615866,0.7513347538326649,True,True,0.0,0.22717757969418018
0.26,73.0,0.14600000000000002,0.02237,0.12363000000000002,0.010416358550446536,3.1585504465369424e-06,3.1585504465369424e-06,303.32178835871224,142.77518357019107,13706.823059011393,0.2739726027397261,0.041977857008819675,0.23199474573090642,7.843873146931883e-05,0.7259489585288046,-0.685323941954751,0.75693689076926,True,True,0.0,0.25334450907670114
0.24799999999999997,73.0,0.14500000000000002,0.02237,0.12263000000000002,0.010410025489427736,-3.174510572263173e-06,3.174510572263173e-06,-304.85447050504865,143.01974812752167,13738.654941120974,0.2720960780634266,0.041977857008819675,0.23011822105460694,7.843873146931883e-05,0.7278254832051041,-0.683914421829467,0.7620124659125068,True,True,0.0,0.28004838836125373
0.1,73.0,0.139,0.02237,0.11663000000000001,0.010410021416980027,-3.178583019972092e-06,3.178583019972092e-06,-305.2455556382373,144.51887336203927,13882.668207224933,0.26083693000562963,0.041977857008819675,0.21885907299680996,7.843873146931883e-05,0.739084631262901,-0.646172049342363,0.7908308259303962,True,True,0.0,0.4669687920582525
0.11,73.0,0.14,0.02237,0.11763000000000001,0.010416446862764366,3.246862764367045e-06,3.246862764367045e-06,311.80259328228067,144.26515758393012,13849.747373995086,0.26271345468192914,0.041977857008819675,0.22073559767310946,7.843873146931883e-05,0.7372081065866015,-0.6470390179854615,0.7857969840369408,True,True,0.0,0.43224413986081534
