Galaxy,MAE_v3o,MAE_v3q,T,f_gas,R_rem,D_spatial,Imp_v3q
NGC0891,28.17614510326576,28.02777658128687,3,0.0085065465372797,0.6940454174239042,0.93268845837652,0.14836852197889172
NGC1003,31.438403607576284,9.097948410376468,6,0.1865535634201963,0.32537857463192155,0.8016682629481799,22.340455197199816
NGC1090,30.35813434614975,17.63106686477698,4,0.0314094898987887,0.5811543060607268,0.8419446387949958,12.72706748137277
NGC1705,33.852205685772034,33.852205685772034,11,0.0648696256320463,0.0,0.8111636193341358,0.0
NGC2366,10.814688423130539,10.81468842313054,10,0.4217131991511926,0.0,0.7277894547509166,-1.7763568394002505e-15
NGC2403,30.211583679595996,13.437287272585602,6,0.0781251520620672,0.3687499391751732,0.838101137074196,16.774296407010397
NGC2683,37.105454990813705,12.129031202127448,3,0.0046292938211535,0.6967594943251925,0.9154729905843756,24.976423788686255
NGC2841,101.94036432651787,53.550825168786616,3,0.0136332546233073,0.6904567217636848,0.9033708757191778,48.38953915773125
NGC2903,37.20062011450055,17.862826484968153,4,0.0082240966011028,0.5950655420393383,0.9073344043010354,19.3377936295324
NGC2915,38.962826858664016,38.962826858664016,11,0.1741053022181908,0.0,0.7869498114143587,0.0
NGC2955,22.27592091609597,16.757982022772893,3,0.0235399141105681,0.6835220601226023,0.7255543842068557,5.517938893323077
NGC2976,7.833696995690967,13.350089361318252,5,0.0133904948325193,0.49330475258374035,0.8039111543973074,-5.5163923656272855
NGC2998,45.07280664393135,6.1874796653083015,5,0.0396968776230994,0.4801515611884503,0.8168280816445026,38.88532697862305
NGC3109,23.18128058844864,20.28405240489278,9,0.3954163835927226,0.060458361640727744,0.6206090302678428,2.8972281835558604
NGC3198,30.696112241190814,11.082511683926754,5,0.0702245126408805,0.46488774367955976,0.8182165382619325,19.61360055726406
NGC3521,17.71860024828555,10.063455405379178,4,0.012857244654598,0.5922856532072411,0.9059674967138496,7.655144842906372
NGC3726,22.033947195602554,20.224285118622866,5,0.0239288225449678,0.4880355887275161,0.8447710926903036,1.8096620769796878
NGC3741,15.752339414633488,15.752339414633488,10,0.6335654085745694,0.0,0.7685967148903824,0.0
NGC3769,26.174435219580385,11.736272406035155,3,0.0729893238186904,0.6489074733269167,0.7637043014128105,14.43816281354523
NGC3877,19.49182384650568,21.047789035303474,5,0.0054090336420617,0.49729548317896916,0.8866319207952497,-1.555965188797792
NGC3893,37.0563652176336,11.265722100006894,5,0.0256799954531178,0.4871600022734411,0.8815547075497618,25.790643117626704
NGC3917,31.72991889712135,11.98100875742061,6,0.0223519383477311,0.3910592246609076,0.8019419882039571,19.74891013970074
