Galaxy,SPARC_name,match_key,ngc_id,ugc_id,ic_id,pgc_id,Mb_proxy_Msun,Mstar_proxy_Msun,Mgas_proxy_Msun,Rb_kpc,Sigma_b_Msun_kpc2,V_obs_kms,V_b_kms,morphology_age_gyr,Morphology_T,z0mgs_match_status,z0mgs_match_method,z0mgs_PGC,z0mgs_NGC,z0mgs_UGC,z0mgs_IC,z0mgs_Dist_Mpc,z0mgs_e_Dist_dex,z0mgs_logMstar,z0mgs_e_logMstar,z0mgs_GammaStar,z0mgs_method_GammaStar,z0mgs_logSFR,z0mgs_e_logSFR,z0mgs_method_logSFR,z0mgs_DelMS,z0mgs_Flags,z0mgs_Mstar_Msun,z0mgs_SFR_Msun_yr,z0mgs_sSFR_yr,final_Mstar_for_SFH_Msun,final_SFR_for_SFH_Msun_yr,final_sSFR_for_SFH_yr,SFH_source,source_sparc_proxy_file,source_z0mgs_catalog,source_z0mgs_url
NGC0055,NGC0055,NGC0055,55,,,,4395450000.0,2314000000.0,2081450000.0,6.11,18738768.90432821,85.6,55.62387549682614,6.55,9.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,2314000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
NGC0100,NGC0100,NGC0100,100,,,,4262700000.0,1616000000.0,2646700000.0,1.66,246200383.18980345,88.1,105.09172429960915,8.2,6.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,1616000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
NGC0247,NGC0247,NGC0247,247,,,,5988180000.0,3666000000.0,2322180000.0,3.74,68135237.43344289,104.9,82.98350980412773,7.649999999999999,7.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,3666000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
NGC0289,NGC0289,NGC0289,289,,,,72566270000.0,36032500000.0,36533770000.0,6.74,254234883.02796343,163.0,215.18779194469337,9.3,4.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,36032500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
NGC0300,NGC0300,NGC0300,300,,,,2705880000.0,1461000000.0,1244880000.0000002,1.75,140621772.21665233,93.3,81.54839527474292,7.649999999999999,7.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,1461000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
NGC0801,NGC0801,NGC0801,801,,,,187142330000.0,156285000000.0,30857330000.0,8.72,391705071.1381972,220.1,303.8141178071445,8.75,5.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,156285000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
NGC0891,NGC0891,NGC0891,891,,,,75104460000.0,69170000000.0,5934460000.0,2.55,1838253911.149178,216.1,355.9122622983829,9.85,3.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,69170000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
NGC1003,NGC1003,NGC1003,1003,,,,11230400000.0,3410000000.0,7820400000.0,1.61,689546573.3957877,109.8,173.2067655787037,8.2,6.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,3410000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
NGC1090,NGC1090,NGC1090,1090,,,,47703890000.0,36022500000.0,11681390000.0,3.53,609290653.0196081,164.4,241.0847402767457,9.3,4.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,36022500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
NGC1705,NGC1705,NGC1705,1705,,,,451370000.0,266500000.0,184870000.0,0.39,472306158.20768434,71.9,70.55279432035456,5.449999999999999,11.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,266500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
