Galaxy,SPARC_name,match_key,ngc_id,ugc_id,ic_id,pgc_id,Mb_proxy_Msun,Mstar_proxy_Msun,Mgas_proxy_Msun,Rb_kpc,Sigma_b_Msun_kpc2,V_obs_kms,V_b_kms,morphology_age_gyr,Morphology_T,z0mgs_match_status,z0mgs_match_method,z0mgs_PGC,z0mgs_NGC,z0mgs_UGC,z0mgs_IC,z0mgs_Dist_Mpc,z0mgs_e_Dist_dex,z0mgs_logMstar,z0mgs_e_logMstar,z0mgs_GammaStar,z0mgs_method_GammaStar,z0mgs_logSFR,z0mgs_e_logSFR,z0mgs_method_logSFR,z0mgs_DelMS,z0mgs_Flags,z0mgs_Mstar_Msun,z0mgs_SFR_Msun_yr,z0mgs_sSFR_yr,final_Mstar_for_SFH_Msun,final_SFR_for_SFH_Msun_yr,final_sSFR_for_SFH_yr,SFH_source,source_sparc_proxy_file,source_z0mgs_catalog,source_z0mgs_url,Mstar,Mgas,Mb,Rb,Sigma_b,V_obs,V_b,age_gyr,Mgas_safe,f_gas,D_hist_sfh,D_hist_source
NGC0891,NGC0891,NGC0891,891.0,,,,75104460000.0,69170000000.0,5934460000.0,2.55,1838253911.149178,216.1,355.9122622983829,9.85,3.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,69170000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,69170000000.0,5934460000.0,75104460000.0,2.55,1838253911.149178,216.1,355.9122622983829,9.85,5934460000.0,0.07901607973747497,5115684482.00403,Delayed_Tau_Fallback
NGC1003,NGC1003,NGC1003,1003.0,,,,11230400000.0,3410000000.0,7820400000.0,1.61,689546573.3957877,109.8,173.2067655787037,8.2,6.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,3410000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,3410000000.0,7820400000.0,11230400000.0,1.61,689546573.3957877,109.8,173.2067655787037,8.2,7820400000.0,0.6963598803248326,313766022.7448362,Delayed_Tau_Fallback
NGC1090,NGC1090,NGC1090,1090.0,,,,47703890000.0,36022500000.0,11681390000.0,3.53,609290653.0196081,164.4,241.0847402767457,9.3,4.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,36022500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,36022500000.0,11681390000.0,47703890000.0,3.53,609290653.0196081,164.4,241.0847402767457,9.3,11681390000.0,0.24487290239852558,3006219421.7652783,Delayed_Tau_Fallback
NGC1705,NGC1705,NGC1705,1705.0,,,,451370000.0,266500000.0,184870000.0,0.39,472306158.20768434,71.9,70.55279432035456,5.449999999999999,11.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,266500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,266500000.0,184870000.0,451370000.0,0.39,472306158.20768434,71.9,70.55279432035456,5.449999999999999,184870000.0,0.4095752929968762,23490224.73187183,Delayed_Tau_Fallback
NGC2366,NGC2366,NGC2366,2366.0,,,,978510000.0,118000000.0,860510000.0000001,0.65,368602848.2008296,50.2,80.46483650638955,6.0,10.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,118000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,118000000.0,860510000.0000001,978510000.0,0.65,368602848.2008296,50.2,80.46483650638955,6.0,860510000.0000001,0.8794084884160611,11013833.360712793,Delayed_Tau_Fallback
NGC2403,NGC2403,NGC2403,2403.0,,,,9275170000.0,5020500000.0,4254670000.0,1.39,764033514.5787771,131.2,169.40792241227436,8.2,6.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,5020500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,5020500000.0,4254670000.0,9275170000.0,1.39,764033514.5787771,131.2,169.40792241227436,8.2,4254670000.0,0.4587161205670624,447164854.71156186,Delayed_Tau_Fallback
NGC2683,NGC2683,NGC2683,2683.0,,,,42077480000.0,40207500000.0,1869980000.0,2.18,1409148837.398023,154.0,288.12224605685003,9.85,3.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,40207500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,40207500000.0,1869980000.0,42077480000.0,2.18,1409148837.398023,154.0,288.12224605685003,9.85,1869980000.0,0.04444134962454976,2863202390.867052,Delayed_Tau_Fallback
NGC2841,NGC2841,NGC2841,2841.0,,,,107061250000.0,94060500000.0,13000750000.000002,3.64,1286025778.2195067,284.8,355.6686941281586,9.85,3.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,94060500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,94060500000.0,13000750000.000002,107061250000.0,3.64,1286025778.2195067,284.8,355.6686941281586,9.85,13000750000.000002,0.12143282466812223,7244899032.528063,Delayed_Tau_Fallback
NGC2903,NGC2903,NGC2903,2903.0,,,,44325660000.0,40931500000.0,3394160000.0000005,2.33,1299461750.043416,184.6,286.04201074340244,9.3,4.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,40931500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,40931500000.0,3394160000.0000005,44325660000.0,2.33,1299461750.043416,184.6,286.04201074340244,9.3,3394160000.0000005,0.07657325350598278,3019493426.330065,Delayed_Tau_Fallback
NGC2915,NGC2915,NGC2915,2915.0,,,,996140000.0,320500000.0,675640000.0,0.55,524101173.5919359,83.5,88.2590040464582,5.449999999999999,11.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,320500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,320500000.0,675640000.0,996140000.0,0.55,524101173.5919359,83.5,88.2590040464582,5.449999999999999,675640000.0,0.6782580761740318,29437835.66896178,Delayed_Tau_Fallback
