PGC,NGC,UGC,IC,ra,dec,Dist,logMstar,logSFR,GammaStar,PGC_NAME
1212,,,,4.65857887,-35.9456482,53.4072342,9.13798046,-0.551923931,0.2406764479999999,PGC1212
1218,,,,4.70212078,-19.0077763,24.0,8.40399456,-1.12408113,0.205625013,PGC1218
1231,,,,4.75251293,23.4761829,65.8566589,9.512729640000002,-0.197338015,0.2452032419999999,PGC1231
1252,,,,4.77452564,-61.3972778,63.4745903,10.2453756,-0.30214411,0.457627773,PGC1252
1288,,,,5.00022602,-6.33369732,49.0455856,9.98956013,-0.4407156999999999,0.425511688,PGC1288
1292,,,,5.02125883,10.8792009,18.7000008,,,,PGC1292
1315,,,,5.14267206,47.4342461,,,,,PGC1315
1335,,,,5.23741341,-63.8570518,20.0,8.94537354,-1.37021494,0.394732326,PGC1335
1353,,,,5.30524921,30.4743614,71.8124466,10.1490154,-0.87265408,0.5,PGC1353
1357,,,,5.30885839,-48.6301384,49.2946815,9.20729923,-0.229945377,0.1999999879999999,PGC1357
1359,,,,5.31691647,30.5060272,71.219696,10.1859531,-0.2472481729999999,0.426305264,PGC1359
1370,,,,5.34121799,-48.6405792,45.7720337,9.50114346,-0.685812712,0.361029863,PGC1370
1374,,,,5.3515048,-48.6654358,45.7508812,9.80440044,0.432312697,0.1999999879999999,PGC1374
1388,,,,5.38220882,-48.6248932,44.5861015,10.3710108,1.40808332,0.1999999879999999,PGC1388
1394,,,,5.41131592,-81.1181107,52.8201675,9.37625599,0.0279733277999999,0.1999999879999999,PGC1394
1397,,,,5.44751406,-81.1176453,54.600956,9.3013916,0.0864291266,0.1999999879999999,PGC1397
1413,,,,5.52124929,23.7369728,66.4660492,9.58792686,-0.219501734,0.26752457,PGC1413
1416,,,,5.53706694,-1.43234444,70.0165176,9.27367878,-1.4105587,0.4958370329999999,PGC1416
1419,,,,5.5424161,-4.34636116,62.8926926,9.82390118,-0.3706774119999999,0.3630013469999999,PGC1419
1431,,,,5.58908367,-1.34577775,70.631752,9.344015120000002,-0.738474607,0.3343556229999999,PGC1431
1434,,,,5.59508276,-1.30351985,69.4384384,9.6576786,0.427661926,0.1999999879999999,PGC1434
1440,,,,5.60949278,-53.6478844,13.6999998,8.56029797,-1.26582301,0.271894962,PGC1440
1442,,,,5.62491608,29.7453613,70.631752,10.9696169,-0.5792876479999999,0.5,PGC1442
1452,,,,5.65863895,-48.5811272,43.4110146,9.634026530000002,-0.0016788487599999,0.2286794189999999,PGC1452
1457,,,,5.68484974,-6.68520021,21.8474255,8.39521313,-2.17166209,0.394896209,PGC1457
1491,,,,5.79532528,27.4319935,58.1567688,9.52015877,-0.222086728,0.252496392,PGC1491
1518,,,,5.97759914,-32.5362167,46.3447304,10.1062794,0.0434976891,0.3293979759999999,PGC1518
1525,,,,6.01210928,16.4868126,17.5,9.22695541,-0.74308151,0.306403637,PGC1525
1534,,,,6.11775017,-3.85688901,61.1223526,9.65960598,0.0079275779399999,0.232189,PGC1534
1544,,,,6.15383434,29.2871952,70.631752,9.55643463,-0.0230999011999999,0.21651651,PGC1544
1546,,,,6.16125011,33.2561378,71.8124466,10.2762671,0.439845413,0.274314702,PGC1546
1552,,,,6.19395924,29.5605564,69.4384384,9.67568684,-0.632921994,0.3928806779999999,PGC1552
1578,,,,6.30565643,30.0370579,71.8124466,9.60982227,-0.182897314,0.264104247,PGC1578
1579,,,,6.29499435,-13.3061247,,,,,PGC1579
1591,,,,6.3696661,20.2377224,64.6844788,10.3768702,0.28992337,0.335480005,PGC1591
1594,,,,6.37512445,24.8113327,67.0501556,9.842906,-0.1603879179999999,0.3145840469999999,PGC1594
1600,,,,6.39709949,-2.06993675,65.2529984,9.231570240000002,-0.945636213,0.3585129679999999,PGC1600
1608,,,,6.44082737,-33.0870781,68.8335266,,,,PGC1608
1615,,,,6.47856283,-3.42084718,63.4745903,10.1572151,-0.698480725,0.5,PGC1615
1619,,,,6.49879217,29.2120552,70.631752,11.085844,-0.2193188369999999,0.5,PGC1619
1626,,,,6.5261879,-2.02518058,61.1223526,9.16773701,-0.823087573,0.3115082379999999,PGC1626
1634,,,,6.57265663,-4.49232626,56.9639359,10.1635962,-0.042683024,0.36603424,PGC1634
1646,,,,6.68334913,-3.59663606,59.3198471,10.2023535,0.0966998413,0.3402134479999999,PGC1646
1651,,,,6.69327164,-33.6769409,27.0,9.31981468,-0.543714643,0.280720711,PGC1651
1652,,,,6.72158384,11.5732222,32.2998199,8.93452358,-2.04448152,0.5,PGC1652
1656,,,,6.72762012,-2.50086761,62.2873993,10.7153225,-1.37629092,0.5,PGC1656
1658,,,,6.73545265,50.0307159,,,,,PGC1658
1660,,,,6.74256897,-1.78614855,59.9239311,,,,PGC1660
1665,,,,6.76207781,11.5838032,25.7999992,9.62932682,-0.298824698,0.296208054,PGC1665
1680,,,,6.83464622,-47.336277,46.3447304,8.946755409999998,-0.527478874,0.1999999879999999,PGC1680
1693,,,,6.87527847,-1.51348782,58.7489433,10.6211557,-0.830053389,0.5,PGC1693
1713,,,,6.95722818,-1.1999464,55.5904121,9.50984097,-0.486581266,0.3128878179999999,PGC1713
1715,,,,6.96816587,-1.81015277,58.1567688,10.036726,0.244325712,0.2640300689999999,PGC1715
1723,,,,6.99429131,2.50744438,63.4745903,9.99406242,-0.1648782189999999,0.353812724,PGC1723
1730,,,,7.0318408,-13.0938501,68.2338104,9.83586597,-0.0797204673,0.293173373,PGC1730
1737,,,,7.05741596,3.23358321,62.8926926,9.80193043,-0.6990602019999999,0.4448071419999999,PGC1737
1740,,,,7.07637262,-27.9838753,20.1186962,7.90648746,-1.62010801,0.2053153369999999,PGC1740
1741,,,,7.09049988,3.38969445,57.5439606,9.67779732,-0.645202339,0.396701157,PGC1741
1745,,,,7.08487511,-49.0755272,39.9025192,9.54496765,-0.976610363,0.450467944,PGC1745
1746,,,,7.07694149,3.38363123,58.7489433,9.75525665,-0.446942389,0.364975661,PGC1746
1748,,,,7.09229088,2.5271945,61.71632,9.29450798,-0.3526602389999999,0.2311956139999999,PGC1748
1753,,,,7.12423944,2.64861178,62.2873993,10.3470755,-1.16186285,0.5,PGC1753
1754,,,,7.1432085,33.2722511,70.631752,9.886947630000002,-0.0704490244,0.303313971,PGC1754
1760,,,,7.15900373,2.95414281,65.2529984,9.74246597,-0.253193706,0.3126997349999999,PGC1760
1765,,,,7.17645311,-59.9435158,64.091423,9.77973843,-0.0811079591999999,0.2800842519999999,PGC1765
1770,,,,7.20137691,3.42939949,63.4745903,9.76338863,-0.3609815539999999,0.344970584,PGC1770
1771,,,,7.21304131,28.9396114,33.4657097,9.38749123,-1.05771422,0.4295657869999999,PGC1771
1781,,,,7.28489256,15.8990612,12.7600002,7.64728355,-2.59648967,0.3758043649999999,PGC1781
1784,,,,7.283709049999999,2.81111121,61.1223526,,,,PGC1784
1787,,,,7.30162525,2.87263894,58.7489433,9.93631363,-0.0901592298999999,0.320328832,PGC1787
1791,,,,7.31274462,2.86404252,59.3472061,11.2201433,-0.0849130973,0.5,PGC1791
1794,,,,7.327249529999999,2.87041664,64.0619431,10.0996475,-1.16618109,0.5,PGC1794
1813,,,,7.41049194,-33.2598,13.2399998,9.02126217,-1.26426828,0.3867765069999999,PGC1813
1814,,,,7.40995789,0.410364002,,,,,PGC1814
1816,,,,7.42363501,-51.520668,47.2099991,10.7724972,-0.94603318,0.5,PGC1816
1818,,,,7.4294157,30.0491943,71.8124466,9.6441021,-0.113866769,0.256090641,PGC1818
1820,,,,7.45373106,-5.11519861,55.7956238,9.39452362,-0.4721043999999999,0.2814563509999999,PGC1820
1825,,,,7.44990444,1.85505521,49.2946815,,,,PGC1825
1834,,,,7.4875412,32.8936653,73.0130463,9.87080479,-1.05598509,0.5,PGC1834
1841,,,,7.53044844,-11.113615,49.8885002,10.4723825,-0.0940829962,0.462875545,PGC1841
1851,,,,7.59125137,-33.2440605,20.7000008,10.8984156,0.604740739,0.3889273999999999,PGC1851
1855,,,,7.60025406,-48.685051,45.7720337,9.90739346,-0.442074299,0.4037558439999999,PGC1855
1909,,,,7.80527735,-10.48102,51.0505219,10.0125504,0.125801295,0.2862509489999999,PGC1909
