name,Mb,Mstar,Rb,Sigma_b,V_obs,V_b,age_gyr,Morphology_T,Mgas,Galaxy,L_chi,D_hist,G_bound,V_b_safe,Y_residual,D_hist_residual,Y_residual_controlled
NGC0289,72566270000.0,36032500000.0,6.74,254234883.02796343,163.0,215.18779194469337,9.3,4.0,36533770000.0,NGC0289,151.48387416495166,50265337500.0,0.9851317020656916,215.18779194469337,-0.42622720811631876,-30076748155.91281,-0.6592047037607754
NGC0300,2705880000.0,1461000000.0,1.75,140621772.21665233,93.3,81.54839527474292,7.649999999999999,7.0,1244880000.0000002,NGC0300,41.24004794190506,1676497499.9999998,0.06864617705588563,81.54839527474292,0.3089783056624894,1283438658.9023256,0.2164457668496994
NGC0801,187142330000.0,156285000000.0,8.72,391705071.1381972,220.1,303.8141178071445,8.75,5.0,30857330000.0,NGC0801,189.32373668453,205124062500.0,0.9990945227869402,303.8141178071445,-0.47516331582907567,-19919023363.54904,-0.21327567160711447
NGC0891,75104460000.0,69170000000.0,2.55,1838253911.149178,216.1,355.9122622983829,9.85,3.0,5934460000.0,NGC0891,48.92299754456813,102198675000.0,0.996362266269538,355.9122622983829,-0.6313420263630818,5974656099.8697815,0.20006123050807278
NGC1003,11230400000.0,3410000000.0,1.61,689546573.3957877,109.8,173.2067655787037,8.2,6.0,7820400000.0,NGC1003,33.409202265249256,4194299999.999999,0.31569342058746064,173.2067655787037,-0.598139818085838,-8735991722.634571,-0.43311345929082257
NGC1090,47703890000.0,36022500000.0,3.53,609290653.0196081,164.4,241.0847402767457,9.3,4.0,11681390000.0,NGC1090,73.97995490918751,50251387500.0,0.9851235687358159,241.0847402767457,-0.5349879765935914,-5635994294.616219,-0.4096074509741988
NGC1705,451370000.0,266500000.0,0.39,472306158.20768434,71.9,70.55279432035456,5.449999999999999,11.0,184870000.0,NGC1705,8.34165139851114,217863749.99999997,0.0012431557759338835,70.55279432035456,0.03855462110783701,-947560346.362551,0.2099943044319022
NGC2366,978510000.0,118000000.0,0.65,368602848.2008296,50.2,80.46483650638955,6.0,10.0,860510000.0000001,NGC2366,14.181232583547732,106200000.0,0.00029567624777080277,80.46483650638955,-0.6107799824432247,-951290070.3190978,-0.5031717291811604
NGC2403,9275170000.0,5020500000.0,1.39,764033514.5787771,131.2,169.40792241227436,8.2,6.0,4254670000.0,NGC2403,28.60823902092979,6175215000.0,0.5,169.40792241227436,-0.4002085959932735,-4858710228.391378,-0.19477085579465037
NGC2683,42077480000.0,40207500000.0,2.18,1409148837.398023,154.0,288.12224605685003,9.85,3.0,1869980000.0,NGC2683,42.72334639989767,59406581250.0,0.989310249864767,288.12224605685003,-0.7143147236071016,6158490266.221558,-0.1843184864120987
NGC2841,107061250000.0,94060500000.0,3.64,1286025778.2195067,284.8,355.6686941281586,9.85,3.0,13000750000.000002,NGC2841,71.85991975123939,138974388750.0,0.9980294929365481,355.6686941281586,-0.3588071229361537,4824605340.891724,0.34197615952381755
NGC2903,44325660000.0,40931500000.0,2.33,1299461750.043416,184.6,286.04201074340244,9.3,4.0,3394160000.0000005,NGC2903,45.960014722937345,57099442500.0,0.9884391341595274,286.04201074340244,-0.5835107955295056,1494557833.4225464,-0.09598154675070819
NGC2915,996140000.0,320500000.0,0.55,524101173.5919359,83.5,88.2590040464582,5.449999999999999,11.0,675640000.0,NGC2915,11.66634450902379,262008749.99999994,0.0017969926411271716,88.2590040464582,-0.1049343175735761,-1367335504.3812215,0.06853873954634773
NGC2976,1914260000.0,1685500000.0,1.01,298660858.11498046,85.4,90.28590438870914,8.75,5.0,228760000.0,NGC2976,22.409513445210926,2212218750.0,0.11373997604006549,90.28590438870914,-0.10530329902418986,881312666.5505195,-0.05936810875899788
NGC2998,106640830000.0,75451000000.0,6.2,441530052.8075568,209.9,271.9857124317082,8.75,5.0,31189830000.0,NGC2998,133.32763824145283,99029437500.0,0.9961266201630329,271.9857124317082,-0.404430161824723,-27145031752.880127,-0.3045510683087629
NGC3109,731410000.0,97000000.0,1.56,47833463.56296974,66.2,44.905374750405535,6.55,9.0,634410000.0,NGC3109,40.07480060837379,95302500.0,0.00023812280688893922,44.905374750405535,1.1732982421715406,2043052433.8608894,1.0596015304131465
NGC3198,33595270000.0,19139500000.0,3.14,542299209.4006712,150.1,214.51339742260808,8.75,5.0,14455770000.0,NGC3198,66.42259651355926,25120593750.0,0.9430147013469491,214.51339742260808,-0.5103874491711207,-13165315597.126099,-0.4457771425274592
NGC3521,47942820000.0,42418000000.0,2.4,1324711248.049476,213.7,293.11385299785815,9.3,4.0,5524820000.0,NGC3521,47.26796028409612,59173110000.0,0.9892266398518743,293.11385299785815,-0.46845950602368797,-1027618393.6048737,0.04103055341464873
NGC3726,43726090000.0,35117000000.0,3.4,602008941.6592643,168.0,235.1857699663746,8.75,5.0,8609090000.0,NGC3726,71.32405066588359,46091062500.0,0.9823662707212011,235.1857699663746,-0.4897341761889817,-4902455442.928467,-0.375074461571774
NGC3741,256060000.0,14000000.0,0.2,1018830368.202768,50.1,74.20549220239698,6.0,10.0,242060000.0,NGC3741,4.0226029086577775,12600000.0,4.163275170800092e-06,74.20549220239698,-0.5441695307190604,-2472534840.1736655,-0.16208788403481034
NGC3769,16693070000.0,9339500000.0,3.38,232553535.05470973,118.6,145.74374822291722,9.85,3.0,7353570000.0,NGC3769,76.51034896240382,13799111250.0,0.8331503452476354,145.74374822291722,-0.3377994927190868,-1355753914.7535782,-0.5099856437105701
NGC3877,38239890000.0,36267500000.0,2.53,950814341.2317548,168.4,254.9636301273331,8.75,5.0,1972390000.0,NGC3877,51.16796929304806,47601093750.0,0.9834490784630365,254.9636301273331,-0.5637577682290222,1076040752.0268707,-0.25711258973967704
NGC3893,36975170000.0,29262500000.0,2.38,1038906340.8592536,174.0,258.49181057903667,8.75,5.0,7712670000.000001,NGC3893,47.7943064028553,38407031250.0,0.9748001319116395,258.49181057903667,-0.5468886723876586,-6992642846.599579,-0.19937536389132066
NGC3917,13494040000.0,10983000000.0,2.63,310492152.3051887,135.9,148.55022012697208,8.2,6.0,2511040000.0,NGC3917,58.17240464748297,13509089999.999998,0.8271609077365318,148.55022012697208,-0.16306387462656952,689529822.1586761,-0.23767340052528207
NGC3949,23516930000.0,19033500000.0,3.59,290410196.6811312,163.0,167.85074233055752,9.3,4.0,4483430000.0,NGC3949,79.83233239051596,26551732500.0,0.9486854328806176,167.85074233055752,-0.05696312235520167,2876999496.0867577,-0.19350635806855737
NGC3953,74417060000.0,70650500000.0,4.89,495307520.0156474,220.8,255.83620364007365,9.3,4.0,3766560000.0,NGC3953,104.19435331297849,98557447500.0,0.9960895776450238,255.83620364007365,-0.25514088922081907,11222999594.142181,-0.17236849491932793
NGC3972,8791120000.0,7176500000.0,2.18,294409183.4260632,132.7,131.69643980196943,9.3,4.0,1614620000.0,NGC3972,48.4245622588783,10011217500.0,0.7243863924708346,131.69643980196943,0.015298574371166555,2339960241.465601,-0.039128498822646254
NGC3992,135542670000.0,113466000000.0,4.96,876865160.4112557,241.0,342.8288463785008,9.3,4.0,22076670000.0,NGC3992,100.96535333030911,158285070000.0,0.9984802793939102,342.8288463785008,-0.5058265934459937,-9072634534.907593,0.06556942826334322
NGC4010,12363060000.0,8596500000.0,2.81,249191640.270727,125.8,137.55931542946658,7.649999999999999,7.0,3766560000.0,NGC4010,63.257053768861034,9864483749.999998,0.7184516489485253,137.55931542946658,-0.16366307731737803,-960057383.0531483,-0.2877653303639804
NGC4013,43493110000.0,39547000000.0,3.53,555509108.2457563,172.9,230.19880047958105,9.85,3.0,3946110000.000001,NGC4013,74.52890299395611,58430692500.0,0.988954172266561,230.19880047958105,-0.4358639231754944,8124609515.698006,-0.3542333281361359
NGC4051,51221010000.0,47634000000.0,4.65,377018241.7231774,157.0,217.6595714823287,9.3,4.0,3587010000.0000005,NGC4051,101.26731189626005,66449430000.00001,0.9914377657792183,217.6595714823287,-0.4797120529499752,8955655786.088913,-0.547662514567356
